date, pm25, pm10
2024/5/1, 32, 19
2024/5/2, 34, 20
2024/5/3, 44, 23
2024/5/4, 48, 15
2024/5/5, 32, 14
2024/5/6, 33, 11
2024/5/7, 26, 22
2024/5/8, 36, 23
2024/5/9, 42, 26
2024/5/10, 48, 17
2024/5/11, 39, 12
2024/5/12, 26, 24
2024/5/13, 39, 26
2024/5/14, 41, 24
2024/5/15, 33, 27
2024/5/16, 38, 30
2024/5/17, 36, 19
2024/5/18, 41, 17
2024/5/19, 51, 21
2024/5/20, 44, 13
2024/5/21, 33, 13
2024/5/22, 35, 
2024/4/1, 114, 25
2024/4/2, 42, 7
2024/4/3, 16, 16
2024/4/4, 52, 10
2024/4/5, 30, 15
2024/4/6, 39, 12
2024/4/7, 38, 15
2024/4/8, 37, 18
2024/4/9, 40, 23
2024/4/10, 40, 14
2024/4/11, 28, 28
2024/4/12, 58, 19
2024/4/13, 43, 21
2024/4/14, 42, 15
2024/4/15, 35, 13
2024/4/16, 34, 15
2024/4/17, 44, 14
2024/4/18, 37, 12
2024/4/19, 41, 9
2024/4/20, 32, 10
2024/4/21, 38, 14
2024/4/22, 45, 21
2024/4/23, 65, 21
2024/4/24, 64, 21
2024/4/25, 67, 20
2024/4/26, 58, 16
2024/4/27, 48, 12
2024/4/28, 38, 14
2024/4/29, 35, 19
2024/4/30, 35, 18
2024/1/7, 45, 23
2024/1/8, 76, 108
2024/1/9, 224, 91
2024/1/10, 194, 46
2024/1/11, 128, 15
2024/1/12, 52, 12
2024/1/13, 50, 10
2024/1/14, 42, 14
2024/1/15, 53, 24
2024/1/16, 64, 28
2024/1/17, 87, 23
2024/1/18, 72, 23
2024/1/19, 73, 13
2024/1/20, 50, 25
2024/1/21, 80, 26
2024/1/22, 80, 18
2024/1/23, 59, 11
2024/1/24, 40, 5
2024/1/25, 18, 24
2024/1/26, 69, 8
2024/1/27, 27, 19
2024/1/28, 55, 25
2024/1/29, 77, 34
2024/1/30, 96, 36
2024/1/31, 99, 22
2024/2/1, 71, 15
2024/2/2, 46, 5
2024/2/3, 22, 6
2024/2/4, 19, 5
2024/2/5, 17, 12
2024/2/6, 34, 6
2024/2/7, 21, 17
2024/2/8, 54, 19
2024/2/9, 60, 31
2024/2/10, 95, 22
2024/2/11, 68, 17
2024/2/12, 53, 15
2024/2/13, 44, 23
2024/2/14, 64, 35
2024/2/15, 96, 35
2024/2/16, 98, 19
2024/2/17, 58, 15
2024/2/18, 42, 20
2024/2/19, 65, 6
2024/2/20, 24, 17
2024/2/21, 53, 20
