date, pm25, pm10, no2
2021/1/4, 164, 19, 6
2021/1/5, 64, 41, 8
2021/1/6, 113, 21, 6
2021/1/7, 75, 22, 
2020/10/1, 53, 18, 5
2020/10/2, 53, 15, 2
2020/10/3, 38, 7, 2
2020/10/4, 20, 7, 3
2020/10/5, 17, 7, 2
2020/10/6, 19, 9, 3
2020/10/7, 26, 12, 4
2020/10/8, 31, 15, 6
2020/10/9, 40, 14, 4
2020/10/10, 45, 13, 2
2020/10/11, 43, 13, 4
2020/10/12, 44, 13, 5
2020/10/13, 46, 7, 3
2020/10/14, 26, 18, 4
2020/10/15, 56, 20, 4
2020/10/16, 62, 13, 3
2020/10/17, 45, 8, 1
2020/10/18, 27, 18, 4
2020/10/19, 52, 17, 4
2020/10/20, 46, 13, 1
2020/10/21, 41, 13, 2
2020/10/22, 37, 30, 5
2020/10/23, 76, 25, 4
2020/10/24, 70, 26, 5
2020/10/25, 77, 21, 5
2020/10/26, 60, 22, 5
2020/10/27, 58, 14, 3
2020/10/28, 45, 13, 4
2020/10/29, 43, 10, 3
2020/10/30, 35, 25, 5
2020/10/31, 66, 27, 4
2020/11/1, 78, 14, 5
2020/11/2, 43, 20, 5
2020/11/3, 54, 21, 5
2020/11/4, 59, 25, 6
2020/11/5, 63, 22, 4
2020/11/6, 61, 39, 6
2020/11/7, 103, 41, 6
2020/11/8, 103, 54, 7
2020/11/9, 141, 40, 9
2020/11/10, 104, 30, 5
2020/11/11, 83, 13, 3
2020/11/12, 45, 26, 4
2020/11/13, 72, 17, 2
2020/11/14, 57, 15, 2
2020/11/15, 53, 19, 3
2020/11/16, 61, 30, 8
2020/11/17, 81, 27, 6
2020/11/18, 71, 15, 2
2020/11/19, 52, 27, 6
2020/11/20, 62, 21, 3
2020/11/21, 61, 15, 2
2020/11/22, 49, 19, 4
2020/11/23, 59, 13, 4
2020/11/24, 41, 20, 2
2020/11/25, 63, 30, 4
2020/11/26, 84, 32, 7
2020/11/27, 90, 30, 6
2020/11/28, 81, 31, 4
2020/11/29, 89, 27, 5
2020/11/30, 78, 33, 7
2020/12/1, 92, 69, 15
2020/12/2, 162, 70, 16
2020/12/3, 163, 42, 11
2020/12/4, 107, 23, 5
2020/12/5, 67, 26, 5
2020/12/6, 75, 38, 10
2020/12/7, 101, 54, 11
2020/12/8, 140, 39, 9
2020/12/9, 104, 33, 7
2020/12/10, 92, 56, 12
2020/12/11, 146, 58, 12
2020/12/12, 145, 53, 9
2020/12/13, 140, 51, 12
2020/12/14, 132, 15, 4
2020/12/15, 55, 20, 5
2020/12/16, 59, 24, 5
2020/12/17, 73, 24, 7
2020/12/18, 74, 9, 3
2020/12/19, 36, 17, 3
2020/12/20, 55, 12, 3
2020/12/21, 45, 10, 3
2020/12/22, 38, 26, 9
2020/12/23, 75, 10, 3
2020/12/24, 34, 12, 2
2020/12/25, 44, 10, 2
2020/12/26, 33, 26, 5
2020/12/27, 76, 17, 5
