date, pm25
2019/4/1, 24
2019/4/2, 34
2019/4/3, 49
2019/4/4, 57
2019/4/5, 72
2019/4/6, 67
2019/4/7, 73
2019/4/8, 83
2019/4/9, 22
2019/4/10, 38
2019/4/11, 32
2019/4/12, 34
2019/4/13, 35
2019/4/14, 32
2019/4/15, 34
2019/4/16, 44
2019/4/17, 51
2019/4/18, 48
2019/4/19, 42
2019/4/20, 51
2019/4/21, 44
2019/4/22, 51
2019/4/23, 62
2019/4/24, 77
2019/4/25, 57
2019/4/26, 64
2019/4/27, 80
2019/4/28, 53
2019/4/29, 35
2019/4/30, 35
2019/5/1, 42
2019/5/2, 37
2019/5/3, 28
2019/5/4, 39
2019/5/5, 21
2019/5/6, 24
2019/5/7, 31
2019/5/8, 40
2019/5/9, 36
2019/5/10, 56
2019/5/11, 64
2019/5/12, 31
2019/5/13, 30
2019/1/1, 29
2019/1/2, 17
2019/1/3, 18
2019/1/4, 39
2019/1/5, 19
2019/1/6, 30
2019/1/7, 62
2019/1/8, 69
2019/1/9, 72
2019/1/10, 76
2019/1/11, 112
2019/1/12, 37
2019/1/13, 29
2019/1/14, 17
2019/1/15, 25
2019/1/16, 45
2019/1/17, 40
2019/1/18, 29
2019/1/19, 40
2019/1/20, 37
2019/1/21, 50
2019/1/22, 99
2019/1/23, 66
2019/1/24, 62
2019/1/25, 42
2019/1/26, 105
2019/1/27, 118
2019/1/28, 88
2019/1/29, 100
2019/1/30, 61
2019/1/31, 50
2019/2/1, 73
2019/2/2, 68
2019/2/3, 88
2019/2/4, 43
2019/2/5, 61
2019/2/6, 58
2019/2/7, 67
2019/2/8, 88
2019/2/9, 84
2019/2/10, 61
2019/2/11, 65
2019/2/12, 18
2019/2/13, 28
2019/2/14, 38
2019/2/15, 36
2019/2/16, 54
2019/2/17, 62
2019/2/18, 62
2019/2/19, 89
2019/2/20, 22
2019/2/21, 22
2019/2/22, 26
2019/2/23, 38
2019/2/24, 63
2019/2/25, 42
2019/2/26, 38
2019/2/27, 34
2019/2/28, 41
2019/3/1, 19
2019/3/2, 40
2019/3/3, 65
2019/3/4, 43
2019/3/5, 24
2019/3/6, 37
2019/3/7, 48
2019/3/8, 45
2019/3/9, 32
2019/3/10, 27
2019/3/11, 25
2019/3/12, 41
2019/3/13, 64
2019/3/14, 58
2019/3/15, 52
2019/3/16, 20
2019/3/17, 59
2019/3/18, 41
2019/3/19, 46
2019/3/20, 32
2019/3/21, 38
2019/3/22, 26
2019/3/23, 65
2019/3/24, 33
2019/3/25, 43
2019/3/26, 20
2019/3/27, 31
2019/3/28, 45
2019/3/29, 39
2019/3/30, 49
2019/3/31, 54
2018/11/13, 104
2018/11/14, 23
2018/11/15, 23
2018/11/16, 49
2018/11/17, 77
2018/11/18, 36
2018/11/19, 10
2018/11/20, 17
2018/11/21, 22
2018/11/22, 33
2018/11/23, 54
2018/11/24, 81
2018/11/25, 66
2018/11/26, 55
2018/11/27, 43
2018/11/28, 30
2018/11/29, 34
2018/11/30, 41
2018/12/1, 86
2018/12/2, 127
2018/12/3, 67
2018/12/4, 58
2018/12/5, 24
2018/12/6, 56
2018/12/7, 55
2018/12/8, 42
2018/12/9, 50
2018/12/10, 44
2018/12/11, 45
2018/12/12, 26
2018/12/13, 30
2018/12/14, 32
2018/12/15, 36
2018/12/16, 33
2018/12/17, 66
2018/12/18, 90
2018/12/19, 69
2018/12/20, 66
2018/12/21, 105
2018/12/22, 42
2018/12/23, 46
2018/12/24, 35
2018/12/25, 39
2018/12/26, 12
2018/12/27, 33
2018/12/28, 24
2018/12/29, 22
2018/12/30, 56
2018/1/1, 58
2018/1/2, 46
2017/10/1, 46
2017/10/2, 54
2017/10/3, 66
2017/10/4, 23
2017/10/5, 27
