date, pm10, o3, no2, so2, co
2022/1/3, 8, 29, , , 
2022/1/4, 10, 26, , , 
2022/1/5, 8, 22, , , 
2022/1/6, 9, 18, , , 
2022/1/7, 14, 27, , , 
2022/1/8, 12, 25, , , 
2022/1/9, 21, 12, , , 
2022/1/10, 36, 5, , , 
2022/1/11, 45, 20, , , 
2022/1/12, 27, 27, , , 
2022/1/13, 8, 29, , , 
2022/1/14, 15, 25, , , 
2022/1/15, 16, 20, , , 
2022/1/16, 19, 31, , , 
2022/1/17, 12, 22, , , 
2022/1/18, 17, 26, , , 
2022/1/19, 15, 31, , , 
2022/1/20, 10, 27, , , 
2022/1/21, 11, 28, , , 
2022/1/22, 13, 22, , , 
2022/1/23, 17, 25, , , 
2022/1/24, 7, 22, , , 
2022/1/25, 14, 20, , , 
2022/1/26, 10, 33, , , 
2022/1/27, 12, 29, , , 
2022/1/28, 9, 36, , , 
2022/1/29, 8, 35, , , 
2022/1/30, 12, 25, , , 
2022/1/31, 30, 22, , , 
2022/2/1, 16, 25, , , 
2022/2/2, 12, 20, , , 
2022/2/3, 14, 22, , , 
2022/2/4, 12, 33, , , 
2022/2/5, 9, 34, , , 
2022/2/6, 5, 31, , , 
2022/2/7, 10, 29, , , 
2022/2/8, 11, 28, , , 
2022/2/9, 8, 29, , , 
2022/2/10, 10, 25, , , 
2022/2/11, 12, 28, , , 
2022/2/12, 10, 25, , , 
2022/2/13, 13, 31, , , 
2022/2/14, 15, 26, , , 
2022/2/15, 16, 24, , , 
2022/2/16, 5, 35, , , 
2022/2/17, 6, 34, , , 
2022/2/18, 11, 32, , , 
2022/2/19, 7, 26, , , 
2022/2/21, 9, 29, , , 
2022/2/22, 10, 32, , , 
2022/2/23, 16, 28, , , 
2022/2/24, 12, 30, , , 
2022/2/25, 11, 24, , , 
2022/2/26, 14, 31, , , 
2022/2/27, 10, 29, , , 
2022/2/28, 15, 28, , , 
2022/3/1, 22, 24, , , 
2022/3/2, 38, 27, , , 
2022/3/3, 15, 30, , , 
2022/3/4, 9, 32, , , 
2022/3/5, 10, 23, , , 
2022/3/6, 26, 30, , , 
2022/3/7, 30, 22, , , 
2022/3/8, 44, 27, , , 
2021/10/1, 14, 20, , , 
2021/10/2, 20, 37, , , 
2021/10/3, 24, 18, , , 
