date, pm25, pm10, o3, no2, so2, co
2024/5/1, 28, 22, 43, 5, , 
2024/5/2, 24, 19, 47, 4, , 
2024/5/3, 31, 18, 49, 4, , 
2024/5/4, 33, 19, 47, 6, , 
2024/5/5, 34, 15, 34, 7, , 
2024/5/6, 30, 14, 32, 6, , 
2024/5/7, 25, 18, 36, 8, , 
2024/5/8, 32, 18, 39, 10, , 
2024/5/9, 27, 20, 33, 16, , 
2024/5/10, 37, 8, 31, 4, , 
2024/5/11, 18, 11, 35, 8, , 
2024/5/12, 21, 17, 38, 14, , 
2024/5/13, 29, 21, 39, 13, , 
2024/5/14, 31, 30, 36, 3, , 
2024/5/15, 31, 32, 38, 3, , 
2024/5/16, 34, 28, 37, 3, , 
2024/5/17, 26, 17, 39, 4, , 
2024/5/18, 25, 16, 41, 8, , 
2024/5/19, 33, 19, 42, 13, , 
2024/5/20, 35, 21, 46, 7, , 
2024/5/21, 42, 16, 33, 3, , 
2024/5/22, 37, , , , , 
2024/4/1, 97, 19, 27, 7, , 
2024/4/2, 38, 6, 26, 5, , 
2024/4/3, 18, 14, 20, 10, , 
2024/4/4, 42, 9, 30, 7, , 
2024/4/5, 26, 11, 30, 8, , 
2024/4/6, 31, 19, 38, 9, , 
2024/4/7, 49, 19, 40, 8, , 
2024/4/8, 36, 24, 42, 10, , 
2024/4/9, 43, 24, 27, 8, , 
2024/4/10, 41, 15, 35, 8, , 
2024/4/11, 25, 18, 25, 9, , 
2024/4/12, 31, 23, 32, 7, , 
2024/4/13, 49, 29, 31, 5, , 
2024/4/14, 38, 17, 33, 10, , 
2024/4/15, 27, 11, 32, 5, , 
2024/4/16, 27, 10, 19, 9, , 
2024/4/17, 35, 9, 23, 8, , 
2024/4/18, 28, 12, 29, 7, , 
2024/4/19, 33, 10, 21, 5, , 
2024/4/20, 36, 7, 27, 2, , 
2024/4/21, 24, 8, 30, 5, , 
2024/4/22, 24, 16, 30, 8, , 
2024/4/23, 48, 19, 17, 8, , 
2024/4/24, 54, 19, 33, 9, , 
2024/4/25, 51, 20, 38, 13, , 
2024/4/26, 48, 15, 42, 7, , 
2024/4/27, 41, 15, 43, 6, , 
2024/4/28, 38, 17, 43, 5, , 
2024/4/29, 31, 21, 44, 4, , 
2024/4/30, 31, 21, 46, 3, , 
2024/1/7, 56, 25, 14, 9, , 
2024/1/8, 69, 45, 7, 19, , 
2024/1/9, 106, 42, 12, 15, , 
2024/1/10, 108, 24, 19, 11, , 
2024/1/11, 68, 13, 20, 13, , 
2024/1/12, 42, 13, 22, 5, , 
2024/1/13, 48, 10, 22, 4, , 
2024/1/14, 37, 10, 25, 5, , 
2024/1/15, 38, 7, 26, 11, , 
2024/1/16, 23, 32, 21, 13, , 
2024/1/17, 86, 34, 14, 12, , 
2024/1/18, 93, 23, 20, 9, , 
2024/1/19, 69, 18, 23, 5, , 
2024/1/20, 58, 19, 22, 9, , 
2024/1/21, 56, 18, 26, 7, , 
2024/1/22, 50, 13, 22, 6, , 
2024/1/23, 45, 8, 27, 4, , 
2024/1/24, 29, 4, 27, 3, , 
2024/1/25, 12, 10, 23, 6, , 
2024/1/26, 32, 7, 26, 5, , 
2024/1/27, 25, 10, 20, 9, , 
2024/1/28, 36, 15, 21, 8, , 
2024/1/29, 50, 28, 13, 15, , 
2024/1/30, 72, 21, 22, 9, , 
2024/1/31, 61, 14, 26, 7, , 
2024/2/1, 45, 14, 24, 7, , 
2024/2/2, 40, 6, 28, 5, , 
2024/2/3, 21, 6, 27, 3, , 
2024/2/4, 19, 4, 26, 6, , 
2024/2/5, 14, 8, 21, 5, , 
2024/2/6, 28, 5, 29, 6, , 
2024/2/7, 15, 12, 19, 12, , 
2024/2/8, 36, 14, 23, 7, , 
2024/2/9, 46, 26, 12, 7, , 
2024/2/10, 74, 19, 17, 4, , 
2024/2/11, 61, 11, 19, 7, , 
2024/2/12, 38, 8, 20, 7, , 
2024/2/13, 25, 16, 23, 10, , 
2024/2/14, 43, 25, 21, 8, , 
2024/2/15, 68, 23, 22, 7, , 
2024/2/16, 63, 15, 20, 7, , 
2024/2/17, 45, 7, 28, 5, , 
2024/2/18, 20, 15, 19, 7, , 
2024/2/19, 51, 7, 25, 9, , 
