date, pm25, pm10, o3, no2, so2, co
2024/5/1, 20, 15, 43, 3, 1, 
2024/5/2, 17, 16, 47, 6, 2, 
2024/5/3, 22, 25, 46, 8, 2, 
2024/5/4, 36, 17, 44, 5, 1, 
2024/5/5, 33, 11, 38, 6, 2, 
2024/5/6, 25, 11, 35, 4, 2, 
2024/5/7, 35, 12, 37, 3, 1, 
2024/5/8, 22, 17, 43, 7, 1, 
2024/5/9, 35, 25, 48, 12, 1, 
2024/5/10, 44, 23, 27, 14, 2, 
2024/5/11, 51, 11, 34, 4, , 
2024/5/12, 23, 12, 34, 7, , 
2024/5/13, 24, 16, 31, 6, 1, 
2024/5/14, 27, 18, 33, 3, 1, 
2024/5/15, 26, 16, 30, 3, , 
2024/5/16, 23, 20, 37, 3, 1, 
2024/5/17, 27, 13, 39, 5, 1, 
2024/5/18, 27, 10, 38, 3, 1, 
2024/5/19, 26, 14, 34, 9, 2, 
2024/5/20, 31, 14, 43, 5, 1, 
2024/5/21, 31, 18, 25, 6, 2, 
2024/5/22, 47, , , , , 
2024/4/1, 91, 21, 28, 8, 4, 
2024/4/2, 32, 10, 35, 7, 3, 
2024/4/3, 17, 11, 31, 8, 2, 
2024/4/4, 21, 9, 35, 7, 2, 
2024/4/5, 19, 18, 33, 9, 3, 
2024/4/6, 35, 20, 37, 5, 2, 
2024/4/7, 49, 14, 39, 3, 2, 
2024/4/8, 20, 15, 41, 4, 2, 
2024/4/9, 19, 23, 29, 5, 2, 
2024/4/10, 35, 19, 32, 6, 4, 
2024/4/11, 32, 28, 39, 13, 2, 
2024/4/12, 46, 28, 39, 8, 3, 
2024/4/13, 53, 17, 33, 7, 2, 
2024/4/14, 37, 17, 22, 7, 3, 
2024/4/15, 51, 12, 31, 7, 2, 
2024/4/16, 30, 15, 24, 9, 1, 
2024/4/17, 43, 15, 32, 4, 2, 
2024/4/18, 41, 14, 31, 9, 1, 
2024/4/19, 38, 10, 31, 5, , 
2024/4/20, 25, 11, 20, 3, , 
2024/4/21, 41, 14, 30, 3, , 
2024/4/22, 44, 21, 29, 4, 1, 
2024/4/23, 60, 22, 21, 8, 2, 
2024/4/24, 65, 20, 34, 11, 2, 
2024/4/25, 62, 16, 38, 6, 1, 
2024/4/26, 47, 13, 45, 3, 1, 
2024/4/27, 28, 13, 43, 3, 1, 
2024/4/28, 22, 16, 43, 5, 1, 
2024/4/29, 22, 15, 42, 4, , 
2024/4/30, 24, 15, 45, 3, 1, 
2024/1/7, 49, , 14, 2, 10, 
2024/1/8, 90, , 15, 5, 13, 
2024/1/9, 171, 137, 9, 17, 14, 
