date, pm25, pm10, o3, no2, so2, co
2024/5/1, 53, 26, 39, 5, , 
2024/5/2, 46, 24, 41, 8, , 
2024/5/3, 48, 32, 44, 10, , 
2024/5/4, 67, 29, 39, 5, , 
2024/5/5, 67, 14, 33, 5, , 
2024/5/6, 41, 12, 33, 4, , 
2024/5/7, 29, 16, 35, 6, , 
2024/5/8, 39, 21, 36, 10, , 
2024/5/9, 44, 19, 31, 9, , 
2024/5/10, 49, 9, 34, 3, , 
2024/5/11, 28, 9, 36, 3, , 
2024/5/12, 26, 14, 38, 6, , 
2024/5/13, 31, 19, 38, 7, , 
2024/5/14, 40, 24, 37, 5, , 
2024/5/15, 43, 30, 39, 5, , 
2024/5/16, 51, 29, 37, 5, , 
2024/5/17, 46, 24, 35, 3, , 
2024/5/18, 50, 18, 31, 6, , 
2024/5/19, 51, 23, 32, 12, , 
2024/5/20, 65, 20, 46, 8, , 
2024/5/21, 55, 23, 31, 4, , 
2024/5/22, 60, , , , , 
2024/4/1, 93, 9, 31, 4, , 
2024/4/2, 28, 6, 28, 4, , 
2024/4/3, 23, 11, 23, 5, , 
2024/4/4, 43, 10, 27, 5, , 
2024/4/5, 32, 11, 30, 8, , 
2024/4/6, 35, 19, 30, 8, , 
2024/4/7, 56, 18, 25, 7, , 
2024/4/8, 47, 29, 33, 15, , 
2024/4/9, 58, 18, 27, 5, , 
2024/4/10, 44, 17, 33, 8, , 
2024/4/11, 42, 14, 26, 5, , 
2024/4/12, 36, 21, 31, 5, , 
2024/4/13, 56, 21, 35, 4, , 
2024/4/14, 46, 17, 34, 5, , 
2024/4/15, 42, 12, 31, 3, , 
2024/4/16, 37, 10, 29, 7, , 
2024/4/17, 34, 15, 28, 9, , 
2024/4/18, 47, 18, 31, 7, , 
2024/4/19, 55, 13, 30, 6, , 
2024/4/20, 49, 12, 35, 4, , 
2024/4/21, 43, 11, 28, 5, , 
2024/4/22, 38, 16, 31, 7, , 
2024/4/23, 55, 31, 31, 10, , 
2024/4/24, 80, 24, 30, 9, , 
2024/4/25, 69, 20, 31, 8, , 
