date, pm25, pm10, o3, no2, so2, co
2024/5/1, 53, 16, 39, 3, , 
2024/5/2, 46, 15, 41, 4, , 
2024/5/3, 48, 20, 43, 6, , 
2024/5/4, 67, 18, 39, 4, , 
2024/5/5, 67, 6, 33, 3, , 
2024/5/6, 41, 6, 33, 1, , 
2024/5/7, 29, 8, 35, 2, 2, 
2024/5/8, 39, 11, 36, 7, 2, 
2024/5/9, 44, 14, 31, 8, 2, 
2024/5/10, 49, 4, 34, 1, 2, 
2024/5/11, 28, 6, 36, 1, 2, 
2024/5/12, 26, 9, 38, 3, 2, 
2024/5/13, 31, 13, 38, 4, 2, 
2024/5/14, 40, 17, 37, 3, 2, 
2024/5/15, 43, 22, 39, 3, 2, 
2024/5/16, 51, 21, 37, 3, 1, 
2024/5/17, 46, 18, 35, 4, 2, 
2024/5/18, 50, 11, 31, 5, 2, 
2024/5/19, 51, 16, 32, 8, 2, 
2024/5/20, 65, 13, 46, 4, 1, 
2024/5/21, 55, 16, 31, , 2, 
2024/5/22, 61, , , , , 
2024/4/1, 93, 4, 31, 3, , 
2024/4/2, 28, 4, 28, 2, , 
2024/4/3, 23, 6, 23, 5, , 
2024/4/4, 43, 5, 27, 5, , 
2024/4/5, 32, 7, 30, 6, , 
2024/4/6, 35, 14, 30, 5, , 
2024/4/7, 56, 13, 25, 7, , 
2024/4/8, 47, 19, 33, 12, , 
2024/4/9, 58, 13, 27, 3, , 
2024/4/10, 44, 10, 33, 6, , 
2024/4/11, 42, 7, 26, 4, , 
2024/4/12, 36, 11, 31, 4, , 
2024/4/13, 56, 15, 35, 3, , 
2024/4/14, 46, 11, 34, 6, , 
2024/4/15, 42, 5, 31, 3, , 
2024/4/16, 37, 4, 29, 3, , 
2024/4/17, 34, 11, 28, 5, , 
2024/4/18, 47, 7, 31, 7, , 
2024/4/19, 55, 4, 30, 2, , 
2024/4/20, 49, 5, 35, 1, 1, 
2024/4/21, 43, 4, 28, 3, , 
2024/4/22, 38, 6, 31, 6, , 
2024/4/23, 55, 16, 31, 6, , 
2024/4/24, 80, 16, 30, 8, , 
2024/4/25, 69, 10, 31, 10, , 
2024/4/26, 62, 11, 35, 5, , 
2024/4/27, 65, 12, 35, 3, , 
2024/4/28, 60, 17, 34, 6, , 
2024/4/29, 60, 19, 38, 6, , 
2024/4/30, 72, 15, 41, 4, , 
2024/1/7, 61, 26, 16, 7, 1, 
2024/1/8, 87, 50, 12, 17, 2, 
2024/1/9, 140, 26, 16, 9, 1, 
2024/1/10, 86, 12, 20, 6, 1, 
2024/1/11, 56, 10, 20, 8, 1, 
2024/1/12, 50, 7, 18, 4, , 
2024/1/15, 25, 9, 27, 10, 1, 
2024/1/16, 40, 25, 18, 10, 1, 
2024/1/17, 89, 34, 21, 13, 2, 
2024/1/18, 105, 15, 20, 7, 1, 
2024/1/19, 58, 13, 19, 5, 1, 
2024/1/20, 57, 20, 22, 6, 1, 
2024/1/21, 69, 11, 22, 5, 1, 
2024/1/22, 53, 9, 21, 6, , 
2024/1/23, 41, 7, 30, 3, , 
2024/1/24, 34, 3, 30, 1, , 
2024/1/25, 24, 10, 27, 6, , 
2024/1/26, 40, 7, 29, , , 
2024/1/27, 32, 8, 22, 2, , 
2024/1/28, 40, 23, 15, 9, , 
2024/1/29, 82, 29, 14, 15, 1, 
2024/1/30, 87, 17, 28, 7, 1, 
2024/1/31, 58, 9, 27, 3, , 
2024/2/1, 43, 14, 28, 4, , 
2024/2/2, 49, 4, 29, 1, , 
2024/2/3, 23, 6, 29, , , 
2024/2/4, 28, 3, 28, 3, , 
2024/2/5, 21, 4, 22, 2, , 
2024/2/6, 27, 4, 30, 3, , 
2024/2/7, 22, 17, 19, 11, 1, 
2024/2/8, 55, 19, 21, 8, 1, 
2024/2/9, 68, 21, 14, 7, 1, 
2024/2/10, 84, 17, 14, 4, 1, 
2024/2/11, 71, 9, 13, 5, 1, 
2024/2/12, 42, 4, 26, 6, 1, 
2024/2/13, 31, 3, 22, 10, 1, 
2024/2/14, 68, 2, 13, 5, 1, 
2024/2/15, 73, 13, 21, 8, 1, 
2024/2/16, 72, 7, 24, 3, 1, 
2024/2/17, 37, 7, 25, 3, 1, 
2024/2/18, 35, 11, 21, 6, 1, 
2024/2/19, 57, 4, 24, 3, 1, 
2024/2/20, 26, 10, 18, 6, 1, 
2024/2/21, 56, 10, 21, 6, 1, 
2024/2/22, 56, 7, 28, 8, 1, 
2024/2/23, 41, 8, 28, 5, 1, 
2024/2/24, 44, 16, 23, 7, 1, 
2024/2/25, 74, 32, 22, 12, 2, 
2024/2/26, 86, 24, 14, 7, 1, 
2024/2/27, 87, 11, 13, 6, 1, 
2024/2/28, 63, 13, 16, 7, 1, 
2024/2/29, 64, 32, 18, 6, 1, 
2024/3/1, 102, 26, 13, 5, 1, 
2024/3/2, 92, 30, 24, 4, 2, 
2024/3/3, 96, 26, 21, 4, 1, 
2024/3/4, 78, 14, 17, 7, 1, 
2024/3/5, 60, 20, 24, 6, 1, 
2024/3/6, 73, 21, 29, 7, 1, 
2024/3/7, 74, 39, 26, 4, 2, 
2024/3/8, 94, 33, 32, , 2, 
2024/3/9, 92, 23, 30, , 2, 
2024/3/10, 76, 14, 25, 7, 1, 
2024/3/11, 65, 25, 13, 8, 1, 
2024/3/12, 91, 41, 13, 11, 1, 
2024/3/13, 118, 33, 25, 10, 1, 
2024/3/14, 111, 22, 25, 7, 1, 
2024/3/15, 80, 13, 29, 5, , 
2024/3/16, 53, 6, 28, 2, , 
2024/3/17, 24, 6, 27, 3, , 
2024/3/18, 31, 15, 22, 7, , 
2024/3/19, 57, 31, 23, 9, , 
2024/3/20, 92, 27, 15, 11, , 
2024/3/21, 95, 13, 20, 6, , 
2024/3/22, 63, 4, 26, 4, , 
2024/3/23, 38, 5, 28, 4, , 
2024/3/24, 43, 9, 17, 11, , 
2024/3/25, 50, 13, 26, 8, , 
2024/3/26, 61, 9, 28, 4, , 
2024/3/27, 45, 19, 23, 7, , 
2024/3/28, 52, 5, 30, 5, , 
2024/3/29, 27, 21, 27, 5, , 
2024/3/30, 65, 69, 26, 6, , 
2024/3/31, 89, 67, 24, 6, , 
2023/10/1, 34, 22, 21, 8, , 
2023/10/2, 53, 24, 29, 5, , 
2023/10/3, 52, 10, 22, 1, , 
2023/10/4, 26, 12, 20, 3, , 
2023/10/5, 38, 11, 23, 3, , 
2023/10/6, 41, 10, 25, 1, , 
2023/10/7, 28, 7, 26, 1, , 
2023/10/8, 19, 14, 13, 8, , 
2023/10/9, 41, 22, 18, 9, , 
2023/10/10, 71, 23, 24, 6, , 
2023/10/11, 69, 14, 25, 4, , 
2023/10/12, 36, 14, 16, 6, , 
2023/10/13, 54, 16, 27, 2, , 
2023/10/14, 40, 11, 25, 1, , 
2023/10/15, 32, 9, 21, 3, , 
2023/10/16, 25, 12, 22, 7, , 
2023/10/17, 44, 16, 22, 8, , 
2023/10/18, 48, 27, 16, 6, , 
2023/10/19, 84, 6, 11, 2, , 
2023/10/20, 27, 14, 10, 3, , 
2023/10/21, 52, 15, 20, 3, , 
2023/10/22, 64, 15, 15, 6, , 
2023/10/23, 53, 23, 15, 5, 1, 
2023/10/24, 78, 14, 11, 3, , 
2023/10/25, 58, 14, 5, 4, , 
2023/10/26, 56, 7, 7, 3, , 
2023/10/27, 41, 13, 9, 4, , 
2023/10/28, 52, 16, 17, 3, , 
2023/10/29, 59, 14, 20, 7, , 
2023/10/30, 39, 12, 26, 5, , 
2023/10/31, 38, 7, 22, 3, , 
2023/11/1, 28, 14, 23, 4, 1, 
2023/11/2, 47, 12, 21, 4, , 
2023/11/3, 42, 10, 19, 4, , 
2023/11/4, 40, 12, 17, 3, , 
2023/11/5, 49, 8, 21, 3, , 
2023/11/6, 23, 11, 20, 6, , 
2023/11/7, 36, 11, 19, 5, 1, 
2023/11/8, 41, 13, 18, 7, 1, 
2023/11/9, 53, 18, 16, 8, 1, 
2023/11/10, 62, 24, 13, 7, 1, 
2023/11/11, 89, 19, 15, 4, , 
2023/11/12, 75, 16, 14, 8, , 
2023/11/13, 67, 12, 22, 5, , 
2023/11/14, 44, 10, 21, 4, , 
2023/11/15, 39, 17, 7, 8, , 
2023/11/16, 73, 19, 7, 7, , 
2023/11/17, 80, 17, 12, 5, 1, 
2023/11/18, 69, 18, 11, 4, 1, 
2023/11/19, 81, 11, 12, 5, , 
2023/11/20, 54, 14, 17, 4, , 
2023/11/21, 58, 20, 14, 8, 1, 
2023/11/22, 70, 12, 31, 4, , 
2023/11/23, 48, 7, 29, 5, , 
2023/11/24, 22, 7, 22, 3, , 
2023/11/25, 28, 8, 21, 2, , 
2023/11/26, 28, 13, 12, 9, , 
2023/11/27, 57, 24, 7, 10, 1, 
2023/11/28, 99, 28, 9, 10, 1, 
2023/11/29, 90, 19, 11, 10, 1, 
2023/11/30, 75, 35, 8, 13, 1, 
2023/12/1, 108, 21, 9, 7, 1, 
2023/12/2, 87, 15, 14, 5, , 
2023/12/3, 60, 25, 10, 11, 1, 
2023/12/4, 96, 38, 10, 13, 2, 
2023/12/5, 126, 33, 11, 8, 2, 
2023/12/6, 115, 29, 9, 10, 2, 
2023/12/7, 109, 41, 7, 9, 2, 
2023/12/8, 131, 36, 8, 9, 1, 
2023/12/9, 124, 26, 10, 8, 1, 
2023/12/10, 100, 14, 13, 10, 1, 
2023/12/11, 61, 17, 6, 11, 1, 
2023/12/12, 66, 19, 5, 7, , 
2023/12/13, 77, 15, 8, 5, 1, 
2023/12/14, 64, 16, 6, 9, 1, 
2023/12/15, 65, 14, 15, 5, , 
2023/12/16, 58, 9, 17, 3, , 
2023/12/17, 43, 11, 14, 5, , 
2023/12/18, 54, 11, 11, 8, , 
2023/12/19, 55, 6, 26, 6, , 
2023/12/20, 30, 6, 28, 5, , 
2023/12/21, 35, 11, 29, 2, , 
2023/12/22, 30, 7, 28, 2, , 
2023/12/23, 22, 8, 22, 3, , 
2023/12/24, 38, 6, 28, 1, , 
2023/12/25, 24, 7, 26, 2, , 
2023/12/26, 29, 10, 26, 5, , 
2023/12/27, 39, 18, 15, 8, 1, 
2023/12/28, 66, 11, 15, 5, 1, 
2023/12/29, 56, , , , , 
2023/7/1, 31, 18, 43, 2, , 
2023/7/2, 38, 22, 50, 4, , 
2023/7/3, 51, 29, 42, 5, , 
2023/7/4, 52, 21, 49, 6, , 
2023/7/5, 52, 18, 34, 3, , 
2023/7/6, 37, 21, 42, 5, , 
2023/7/7, 36, 20, 46, 2, , 
2023/7/8, 42, 16, 36, 1, , 
2023/7/9, 24, 16, 35, 4, , 
2023/7/10, 41, 16, 35, 3, , 
2023/7/11, 35, 21, 29, 8, , 
2023/7/12, 55, 18, 29, 6, , 
2023/7/13, 44, 14, 35, 4, , 
2023/7/14, 30, 19, 51, 7, 1, 
2023/7/15, 45, 16, 36, 2, , 
2023/7/16, 43, 20, 40, 5, , 
2023/7/17, 40, 12, 31, 3, , 
2023/7/18, 25, 17, 36, 8, , 
2023/7/19, 32, 15, 26, 6, , 
2023/7/20, 33, 13, 32, 6, , 
2023/7/21, 28, 14, 32, 3, , 
2023/7/22, 29, 16, 35, 5, , 
2023/7/23, 40, 16, 33, 6, , 
2023/7/24, 34, 14, 29, 3, , 
2023/7/25, 29, 12, 27, 2, , 
2023/7/26, 23, 11, 32, 4, , 
2023/7/27, 24, 12, 17, 6, , 
2023/7/28, 31, 12, 31, 4, , 
2023/7/29, 30, 11, 29, 2, , 
2023/7/30, 34, 13, 23, 3, , 
2023/7/31, 28, 12, 19, 5, , 
2023/8/1, 29, 15, 29, 4, , 
2023/8/2, 25, 15, 28, 3, , 
2023/8/3, 23, 14, 29, 4, , 
2023/8/4, 23, 18, 23, 4, , 
2023/8/5, 31, 11, 20, 1, , 
2023/8/6, 20, 9, 29, 2, , 
2023/8/7, 14, 13, 27, 2, , 
2023/8/8, 20, 10, 24, 5, , 
2023/8/9, 26, 14, 28, 7, , 
2023/8/10, 31, 20, 34, 7, , 
2023/8/11, 41, 20, 36, 8, , 
2023/8/12, 45, , 31, 3, , 
2023/8/13, 43, 17, 33, 5, , 
2023/8/14, 47, 27, 42, 7, , 
2023/8/15, 60, 26, 45, 5, , 
2023/8/16, 59, 16, 35, 2, 1, 
2023/8/17, 33, 18, 35, 5, , 
2023/8/18, 44, 17, 43, 6, , 
2023/8/19, 61, 24, 39, 6, , 
2023/8/20, 72, 22, 34, 3, , 
2023/8/21, 38, 17, 33, 2, , 
2023/8/22, 28, 22, 37, 7, , 
2023/8/23, 39, 20, 37, 7, , 
2023/8/24, 41, 24, 43, 7, , 
2023/8/25, 56, 20, 37, 4, , 
2023/8/26, 49, 14, 23, 2, , 
2023/8/27, 51, 12, 24, 2, , 
2023/8/28, 40, 9, 25, 3, , 
2023/8/29, 36, 9, 20, 3, , 
2023/8/30, 33, 9, 26, 3, , 
2023/8/31, 29, 10, 31, 4, , 
2023/9/1, 28, 13, 33, 7, , 
2023/9/2, 36, 12, 33, 2, , 
2023/9/3, 34, 12, 28, 5, , 
2023/9/4, 31, 17, 27, 8, , 
2023/9/5, 45, 20, 38, 10, , 
2023/9/6, 49, 28, 37, 5, , 
2023/9/7, 56, 26, 46, 9, , 
2023/9/8, 64, 28, 46, 9, , 
2023/9/9, 74, 25, 45, 7, , 
2023/9/10, 72, 38, 48, 10, , 
2023/9/11, 79, 39, 52, 15, , 
2023/9/12, 84, 34, 37, 12, , 
2023/9/13, 79, 9, 22, 1, , 
2023/9/14, 22, 14, 29, 4, , 
2023/9/15, 30, 14, 33, 3, , 
2023/9/16, 32, 17, 34, 2, , 
2023/9/17, 50, 27, 36, 5, , 
2023/9/18, 60, 18, 25, 5, , 
2023/9/19, 46, 16, 27, 7, , 
2023/9/20, 34, 17, 36, 4, , 
2023/9/21, 40, 18, 30, 3, , 
2023/9/22, 40, 8, 22, 2, , 
2023/9/23, 30, 9, 27, 2, , 
2023/9/24, 29, 11, 27, 4, , 
2023/9/25, 31, 18, 19, 5, , 
2023/9/26, 50, 28, 30, 6, , 
2023/9/27, 73, 31, 35, 9, , 
2023/9/28, 69, 30, 35, 11, , 
2023/9/29, 66, 20, 27, 3, , 
2023/9/30, 44, 14, 24, 2, , 
2023/4/1, 48, 8, 31, 1, 2, 
2023/4/2, 29, 8, 34, 1, 2, 
2023/4/3, 27, 11, 33, 3, 2, 
2023/4/4, 38, 24, 34, 9, 2, 
2023/4/5, 61, 19, 32, 5, 2, 
2023/4/6, 61, 16, 16, 3, 1, 
2023/4/7, 67, 15, 28, 4, 2, 
2023/4/8, 71, 19, 22, 3, 5, 
2023/4/9, 77, 17, 33, 6, 1, 
2023/4/10, 58, 19, 31, 7, 1, 
2023/4/11, 61, 11, 26, 6, 3, 
2023/4/12, 47, 18, 34, 6, 13, 
2023/4/13, 66, 19, 26, 5, 6, 
2023/4/14, 62, 13, 26, 3, , 
2023/4/15, 50, 10, 16, 2, , 
2023/4/16, 47, 12, 23, 3, , 
2023/4/17, 51, 17, 32, 3, 1, 
2023/4/18, 62, 15, 29, 4, 1, 
2023/4/19, 54, 22, 36, 5, 1, 
2023/4/20, 64, 24, 41, 4, 1, 
2023/4/21, 65, 16, 38, 6, 1, 
2023/4/22, 50, 19, 40, 3, 1, 
2023/4/23, 62, 16, 36, 6, , 
2023/4/24, 59, 9, 30, 3, , 
2023/4/25, 32, 13, 32, 3, , 
2023/4/26, 31, 13, 35, 6, , 
2023/4/27, 39, 24, 39, 10, , 
2023/4/28, 57, 25, 31, 6, 1, 
2023/4/29, 72, 13, 35, 1, , 
2023/4/30, 40, 15, 39, 3, 1, 
2023/5/1, 49, 17, 32, 5, 1, 
2023/5/2, 47, 11, 36, 2, , 
2023/5/3, 33, 20, 37, 6, 1, 
2023/5/4, 54, 17, 24, 4, , 
2023/5/5, 43, 15, 30, 3, , 
2023/5/6, 43, 16, 34, 4, , 
2023/5/7, 49, 17, 35, 8, 1, 
2023/5/8, 51, 20, 39, 9, 1, 
2023/5/9, 52, 17, 38, 3, 1, 
2023/5/10, 38, 18, 41, 4, 1, 
2023/5/11, 40, 23, 39, 4, 1, 
2023/5/12, 48, 23, 36, 5, , 
2023/5/13, 53, 22, 40, 5, 1, 
2023/5/14, 57, 19, 24, 7, , 
2023/5/15, 53, 14, 34, 3, , 
2023/5/16, 45, 17, 33, 2, , 
2023/5/17, 41, 13, 30, 3, 1, 
2023/5/18, 24, 13, 25, 4, , 
2023/5/19, 28, 18, 34, 3, , 
2023/5/20, 47, 18, 42, 4, , 
2023/5/21, 42, 21, 42, 8, , 
2023/5/22, 47, 24, 39, 12, 1, 
2023/5/23, 55, 28, 33, 7, , 
2023/5/24, 72, 21, 41, 3, , 
2023/5/25, 54, 20, 37, 2, , 
2023/5/26, 43, 16, 38, 3, , 
2023/5/27, 32, 17, 40, 5, , 
2023/5/28, 35, 23, 40, 6, , 
2023/5/29, 40, 17, 37, 2, 1, 
2023/5/30, 29, 14, 41, 3, 1, 
2023/5/31, 27, 23, 35, 5, 1, 
2023/6/1, 39, 16, 34, 1, 1, 
2023/6/2, 26, 13, 32, 2, 1, 
2023/6/3, 20, 13, 40, 3, 1, 
2023/6/4, 25, 19, 44, 6, 1, 
2023/6/5, 35, 21, 45, 5, 1, 
2023/6/6, 38, 27, 47, 6, , 
2023/6/7, 53, 22, 46, 4, , 
2023/6/8, 59, 26, 45, 5, , 
2023/6/9, 65, 23, 37, 1, , 
2023/6/10, 42, 16, 38, 2, , 
2023/6/11, 35, 19, 39, 3, , 
2023/6/12, 37, 16, 31, 3, , 
2023/6/13, 34, 20, 30, 5, 1, 
2023/6/14, 52, 18, 28, 6, , 
2023/6/15, 52, 17, 40, 7, , 
2023/6/16, 54, 22, 43, 5, , 
2023/6/17, 67, 20, 44, 3, , 
2023/6/18, 64, 20, 46, 6, , 
2023/6/19, 63, 25, 56, 6, , 
2023/6/20, 70, 23, 35, 6, , 
2023/6/21, 73, 17, 49, 3, , 
2023/6/22, 46, 23, 32, 9, , 
2023/6/23, 51, 16, 43, 2, , 
2023/6/24, 38, 15, 46, 3, , 
2023/6/25, 36, 21, 54, 6, , 
2023/6/26, 42, 15, 40, 2, , 
2023/6/27, 31, 11, 38, 3, , 
2023/6/28, 25, 17, 47, 3, , 
2023/6/29, 39, 21, 34, 8, , 
2023/6/30, 54, 14, 45, 2, , 
2023/1/2, 65, 12, 23, 4, 1, 
2023/1/3, 29, 17, 16, 7, 1, 
2023/1/4, 62, 5, 20, 2, 1, 
2023/1/5, 19, 9, 20, 3, 1, 
2023/1/6, 46, 17, 12, 7, 1, 
2023/1/7, 76, 24, 11, 5, 1, 
2023/1/8, 90, 29, 7, 8, 1, 
2023/1/9, 109, 21, 7, 11, 1, 
2023/1/10, 79, 19, 16, 8, 1, 
2023/1/11, 71, 12, 18, 6, 1, 
2023/1/12, 47, 8, 21, 5, 1, 
2023/1/13, 35, 10, 20, 4, 1, 
2023/1/14, 37, 8, 25, 2, 1, 
2023/1/15, 29, 10, 22, 6, 1, 
2023/1/16, 25, 13, 15, 7, 1, 
2023/1/17, 50, 28, 7, 12, 1, 
2023/1/18, 96, 39, 4, 12, 1, 
2023/1/19, 132, 24, 16, 7, 1, 
2023/1/20, 86, 11, 20, 4, 1, 
2023/1/21, 43, 14, 15, 3, 1, 
2023/1/22, 58, 19, 13, 6, 2, 
2023/1/23, 74, 19, 20, 5, 1, 
2023/1/24, 81, 18, 19, 5, 1, 
2023/1/25, 73, 35, 9, 9, 1, 
