date, pm25, pm10, o3, no2, so2, co
2020/4/2, 85, 38, 30, 8, 11, 6
2020/4/3, 84, 32, 24, 7, 8, 5
2020/4/4, 118, 33, 27, 5, 6, 5
2020/1/2, 141, 44, 12, 15, 15, 10
2020/1/3, 186, 48, 13, 15, 13, 11
2020/1/5, 66, 27, 19, 5, 5, 10
2020/1/6, 129, 54, 12, 12, 12, 13
2020/1/7, 137, 48, 11, 14, 10, 14
2020/1/8, 127, 33, 13, 11, 7, 13
2020/1/9, 106, 35, 11, 14, 5, 15
2020/1/10, 141, 41, 11, 13, 13, 15
2020/1/11, 89, 28, 9, 9, 4, 14
2019/10/1, 46, 15, 26, 6, 5, 4
2019/10/2, 78, 16, 19, 8, 5, 4
2019/10/3, 74, 19, 20, 8, 5, 4
2019/10/4, 94, 13, 21, 3, 4, 4
2019/10/5, 73, 11, 23, 1, 4, 4
2019/10/6, 60, 15, 26, 5, 5, 4
2019/10/7, 83, 23, 24, 7, 6, 5
2019/10/8, 95, 17, 17, 9, 5, 5
2019/10/9, 69, 16, 17, 8, 9, 6
2019/10/10, 34, 14, 23, 7, 5, 5
2019/10/11, 50, 16, 30, 5, 7, 4
2019/10/12, 61, 22, 32, 7, 8, 6
2019/10/13, 82, 25, 31, 8, 6, 6
2019/10/14, 94, 26, 33, 6, 6, 5
2019/10/15, 107, 16, 33, 6, 5, 4
2019/10/16, 72, 11, 31, 5, 4, 4
2019/10/17, 68, 21, 33, 7, 5, 5
2019/10/18, 98, 27, 32, 5, 5, 5
2019/10/19, 120, 13, 33, 2, 4, 4
2019/10/20, 93, 20, 31, 7, 5, 5
2019/10/21, 81, 38, 27, 12, 9, 7
2019/10/22, 116, 43, 27, 9, 2, 7
2019/10/23, 153, 35, 30, 8, 2, 6
2019/10/24, 140, 41, 28, 13, 3, 6
2019/10/25, 134, 48, 33, 9, 3, 7
2019/10/26, 139, 26, 32, 6, 3, 6
2019/10/27, 105, 29, 26, 12, 4, 6
2019/10/28, 74, 42, 14, 13, 5, 7
2019/10/29, 125, 18, 27, 5, 3, 5
2019/10/30, 73, 32, 23, 8, 3, 7
2019/10/31, 149, 53, 21, 12, 5, 10
2019/11/1, 155, 25, 20, 6, 4, 7
2019/11/2, 120, 12, 25, 2, 3, 6
2019/11/3, 72, 17, 24, 10, 3, 7
2019/11/4, 67, 29, 13, 15, 4, 8
2019/11/5, 76, 35, 19, 12, 4, 8
2019/11/6, 107, 18, 23, 7, 3, 6
2019/11/7, 121, 24, 15, 7, 3, 7
2019/11/8, 130, 22, 11, 8, 3, 8
2019/11/9, 108, 19, 15, 5, 3, 7
2019/11/10, 79, 25, 20, 5, 4, 7
2019/11/11, 81, 16, 19, 6, 3, 7
2019/11/12, 80, 22, 30, 10, 4, 7
2019/11/13, 94, 20, 10, 8, 4, 4
2019/11/14, 79, 24, 7, 7, 2, 5
2019/11/15, 115, 23, 17, 5, 3, 4
2019/11/16, 107, 21, 18, 4, 3, 4
2019/11/17, 97, 21, 17, 7, 4, 4
2019/11/18, 95, 18, 17, 7, 2, 4
2019/11/19, 93, 25, 13, 6, 2, 5
2019/11/20, 125, 18, 14, 4, 1, 4
2019/11/21, 79, 19, 8, 4, 1, 4
2019/11/22, 76, 27, 6, 5, 1, 5
2019/11/23, 116, 24, 7, 4, 1, 5
2019/11/24, 130, 37, 2, 6, 2, 6
2019/11/25, 123, 31, 1, 8, 2, 7
2019/11/26, 130, 30, 6, 12, 5, 7
2019/11/27, 133, 40, 8, 14, 9, 7
2019/11/28, 165, 16, 14, 8, 4, 4
2019/11/29, 64, 30, 18, 10, 8, 5
2019/11/30, 69, 35, 18, 9, 9, 6
2019/12/1, 123, 40, 12, 16, 8, 6
2019/12/2, 133, 33, 15, 11, 8, 6
2019/12/3, 97, 48, 12, 15, 12, 7
2019/12/4, 164, 47, 12, 14, 10, 7
2019/12/5, 162, 36, 10, 13, 9, 6
2019/12/6, 132, 28, 10, 10, 7, 6
2019/12/7, 101, 16, 18, 7, 5, 5
2019/12/8, 53, 31, 15, 12, 9, 7
2019/12/9, 76, 28, 16, 10, 7, 6
2019/12/10, 75, 39, 13, 11, 8, 6
2019/12/11, 101, 57, 12, 16, 16, 10
2019/12/12, 158, 25, 17, 10, 5, 7
2019/12/13, 95, 14, 18, 7, 4, 5
2019/12/14, 51, 19, 22, 8, 7, 6
2019/12/15, 50, 22, 13, 10, 5, 7
2019/12/16, 92, 31, 14, 12, 4, 12
2019/12/17, 171, 42, 14, 18, 11, 12
2019/12/18, 163, 42, 9, 17, 4, 10
2019/12/19, 160, 19, 25, 10, 3, 4
2019/12/20, 107, 25, 22, 13, 3, 2
2019/12/21, 69, 31, 10, 15, 6, 3
2019/12/22, 81, 27, 12, 16, 4, 3
2019/12/23, 71, 24, 16, 13, 4, 2
2019/12/24, 44, 28, 12, 15, 6, 4
2019/12/25, 88, 19, 14, 13, 2, 3
2019/12/26, 52, 16, 12, 14, 2, 3
2019/12/27, 48, 13, 14, 12, 2, 4
2019/12/28, 31, 17, 19, 12, 3, 5
2019/7/1, 45, 18, 47, 5, 4, 4
2019/7/2, 46, 17, 39, 4, 4, 3
2019/7/3, 33, 16, 43, 5, 4, 3
2019/7/4, 38, 21, 36, 9, 6, 4
2019/7/5, 41, 19, 52, 7, 5, 4
2019/7/6, 39, 17, 37, 5, 5, 4
2019/7/7, 50, 14, 34, 4, 4, 3
2019/7/8, 23, 19, 35, 9, 5, 4
2019/7/9, 34, 15, 29, 8, 4, 4
2019/7/10, 30, 12, 27, 7, 4, 4
2019/7/11, 47, 14, 40, 7, 4, 4
2019/7/12, 45, 15, 31, 6, 4, 5
2019/7/13, 66, 16, 25, 4, 4, 5
2019/7/14, 54, 14, 38, 6, 4, 4
2019/7/15, 40, 20, 31, 7, 4, 4
2019/7/16, 59, 14, 30, 6, 4, 4
2019/7/17, 41, 17, 40, 7, 5, 5
2019/7/18, 43, 16, 45, 5, 3, 5
2019/7/19, 50, 17, 48, 4, 4, 6
2019/7/20, 51, 14, 46, 4, 3, 6
2019/7/21, 51, 20, 50, 6, 4, 5
2019/7/22, 52, 17, 31, 8, 2, 3
2019/7/23, 58, 16, 31, 4, 3, 3
2019/7/24, 57, 13, 50, 3, 2, 3
2019/7/25, 39, 21, 46, 4, 4, 3
2019/7/26, 51, 16, 42, 2, 2, 3
2019/7/27, 57, 16, 51, 2, 3, 4
2019/7/28, 50, 17, 63, 4, 4, 4
2019/7/29, 48, 19, 47, 6, 3, 4
2019/7/30, 58, 27, 25, 7, 3, 5
2019/7/31, 60, 18, 46, 5, 3, 4
2019/8/1, 55, 16, 43, 5, 4, 4
2019/8/2, 43, 13, 33, 3, 3, 4
2019/8/3, 41, 14, 34, 4, 4, 4
2019/8/4, 35, 13, 46, 7, 4, 4
2019/8/5, 33, 14, 51, 4, 3, 5
2019/8/6, 41, 12, 42, 5, 3, 5
2019/8/7, 44, 13, 43, 5, 3, 3
2019/8/8, 43, 15, 45, 7, 6, 2
2019/8/9, 45, 12, 38, 2, 3, 2
2019/8/10, 37, 10, 42, 2, 3, 1
2019/8/11, 20, 15, 48, 3, 3, 2
2019/8/12, 44, 11, 40, 5, 3, 2
2019/8/13, 37, 13, 29, 6, 4, 2
2019/8/14, 32, 13, 45, 3, 3, 1
2019/8/15, 40, 15, 33, 6, 4, 2
2019/8/16, 44, 12, 38, 4, 3, 2
2019/8/17, 41, 9, 34, 2, 2, 2
2019/8/18, 34, 12, 49, 3, 3, 2
2019/8/19, 31, 10, 30, 2, 2, 2
2019/8/20, 35, 11, 26, 4, 2, 3
2019/8/21, 36, 10, 35, 1, 1, 2
2019/8/22, 33, 16, 38, 1, 2, 2
2019/8/23, 49, 17, 42, 3, 3, 3
2019/8/24, 44, 18, 38, 2, 2, 3
2019/8/25, 50, 19, 39, 5, 3, 3
2019/8/26, 51, 24, 44, 5, 3, 4
2019/8/27, 55, 19, 46, 1, 2, 3
2019/8/28, 52, 22, 56, 2, 3, 3
2019/8/29, 47, 23, 56, 7, 4, 4
2019/8/30, 53, 18, 58, 1, 3, 3
2019/8/31, 50, 20, 45, 2, 3, 4
2019/9/1, 49, 13, 30, 5, 4, 3
2019/9/2, 39, 15, 22, 6, 3, 4
2019/9/3, 33, 20, 44, 6, 5, 3
2019/9/4, 32, 14, 45, 3, 3, 3
2019/9/5, 30, 12, 32, 3, 4, 3
2019/9/6, 24, 19, 28, 5, 3, 4
2019/9/7, 55, 9, 29, 2, 3, 4
2019/9/8, 38, 12, 29, 3, 3, 4
2019/9/9, 46, 7, 33, 3, 3, 3
2019/9/10, 22, 11, 39, 3, 3, 4
2019/9/11, 42, 18, 42, 7, 5, 4
2019/9/12, 49, 19, 29, 8, 5, 5
2019/9/13, 44, 12, 28, 3, 4, 4
2019/9/14, 23, 14, 36, 3, 4, 4
2019/9/15, 36, 18, 25, 10, 6, 5
2019/9/16, 39, 14, 27, 5, 5, 4
2019/9/17, 27, 12, 23, 6, 5, 3
2019/9/18, 22, 18, 23, 10, 5, 4
2019/9/19, 34, 30, 25, 11, 5, 6
2019/9/20, 47, 25, 32, 8, 6, 6
2019/9/21, 49, 12, 34, 1, 3, 4
2019/9/22, 50, 20, 27, 5, 4, 5
2019/9/23, 55, 37, 20, 4, 4, 5
2019/9/24, 64, 36, 13, 11, 6, 6
2019/9/25, 78, 22, 20, 10, 6, 5
2019/9/26, 44, 15, 23, 6, 5, 5
2019/9/27, 41, 13, 21, 6, 4, 4
2019/9/28, 28, 8, 29, 2, 4, 4
2019/9/29, 26, 14, 26, 4, 4, 3
2019/9/30, 17, 12, 30, 5, 5, 4
2019/4/1, 53, 25, 41, 5, 5, 2
2019/4/2, 73, 38, 42, 6, 6, 3
2019/4/3, 106, 35, 44, 6, 6, 3
2019/4/4, 122, 36, 45, 5, 5, 3
2019/4/5, 107, 46, 34, 6, 5, 3
2019/4/6, 116, 36, 40, 6, 6, 4
2019/4/7, 82, 29, 46, 6, 4, 3
2019/4/8, 124, 36, 48, 5, 3, 1
2019/4/9, 120, 26, 35, 3, 1, 1
2019/4/10, 85, 29, 31, 4, 1, 2
2019/4/11, 93, 25, 28, 4, 1, 2
2019/4/12, 84, 33, 27, 5, 1, 2
2019/4/13, 110, 25, 43, 2, 1, 1
2019/4/14, 89, 23, 42, 2, 1, 2
2019/4/15, 79, 22, 45, 4, 2, 2
2019/4/16, 92, 23, 40, 4, 1, 2
2019/4/17, 93, 24, 46, 4, 1, 2
2019/4/18, 106, 29, 50, 7, 2, 3
2019/4/19, 100, 29, 48, 6, 5, 4
2019/4/20, 85, 23, 45, 5, 3, 
2019/4/21, 68, 24, 43, 3, 2, 
2019/4/22, 68, 22, 42, 3, 1, 
2019/4/23, 64, 25, 36, 5, 1, 
2019/4/24, 69, 36, 41, 5, 2, 
2019/4/25, 74, 44, 40, 5, 2, 
2019/4/26, 80, 29, 28, 7, 3, 
2019/4/27, 74, 23, 27, 5, 2, 
2019/4/28, 78, 17, 24, 9, 3, 
2019/4/29, 62, 15, 31, 3, 2, 
2019/4/30, 67, 25, 44, 4, 4, 3
2019/5/1, 72, 31, 45, 7, 4, 3
2019/5/2, 73, 29, 31, 7, 5, 3
2019/5/3, 84, 26, 39, 5, 4, 3
2019/5/4, 65, 16, 29, 3, 3, 3
2019/5/5, 50, 17, 31, 5, 4, 3
2019/5/6, 46, 25, 34, 5, 4, 3
2019/5/7, 60, 32, 39, 7, 4, 4
2019/5/8, 88, 26, 30, 7, 3, 4
