date, pm10, no2, so2
2024/5/1, 17, 7, 1
2024/5/2, 17, 5, 1
2024/5/3, 17, 4, 1
2024/5/4, 17, 8, 2
2024/5/5, 24, 4, 1
2024/5/6, 13, 5, 1
2024/5/7, 11, 5, 5
2024/5/8, 10, 8, 3
2024/5/9, 18, 8, 1
2024/5/10, 19, 9, 1
2024/5/11, 24, 4, 3
2024/5/12, 11, 8, 1
2024/5/13, 12, 8, 2
2024/5/14, 15, 6, 1
2024/5/15, 15, 6, 1
2024/5/16, 15, 8, 1
2024/5/17, 15, 7, 1
2024/5/18, 17, 5, 1
2024/5/19, 13, 7, 1
2024/5/20, 14, 10, 1
2024/5/21, 21, 8, 2
2024/5/22, 19, , 
2024/4/1, 80, 4, 2
2024/4/2, 11, 3, 2
2024/4/3, 8, 4, 3
2024/4/4, 10, 5, 2
2024/4/5, 11, 7, 2
2024/4/6, 14, 8, 3
2024/4/7, 28, 9, 2
2024/4/8, 18, 11, 4
2024/4/9, 22, 5, 2
2024/4/10, 16, 9, 2
2024/4/11, 20, 7, 2
2024/4/12, 25, 7, 2
2024/4/13, 20, 4, 2
2024/4/14, 18, 11, 4
2024/4/15, 23, 4, 3
2024/4/16, 12, 4, 3
2024/4/17, 10, 5, 2
2024/4/18, 16, 4, 2
2024/4/19, 11, 3, 2
2024/4/20, 6, 2, 2
2024/4/21, 12, 4, 2
2024/4/22, 12, 11, 4
2024/4/23, 22, 8, 3
2024/4/24, 24, 6, 1
2024/4/25, 14, 9, 3
2024/4/26, 20, 12, 4
2024/4/27, 23, 9, 2
2024/4/28, 21, 12, 2
2024/4/29, 24, 10, 1
2024/4/30, 26, 6, 1
2024/1/7, 7, 10, 4
2024/1/8, 26, 19, 13
2024/1/9, 53, 33, 24
2024/1/10, 111, 18, 9
2024/1/11, 50, 8, 3
2024/1/12, 21, 6, 3
2024/1/13, 13, 4, 3
2024/1/14, 11, 4, 3
2024/1/15, 9, 10, 4
2024/1/16, 16, 25, 15
2024/1/17, 52, 11, 4
2024/1/18, 23, 8, 3
2024/1/19, 19, 5, 4
2024/1/20, 15, 11, 6
2024/1/21, 30, 6, 4
2024/1/22, 11, 6, 2
2024/1/23, 20, 4, 2
2024/1/24, 9, 3, 1
2024/1/25, 9, 5, 2
2024/1/26, 13, 4, 1
2024/1/27, 12, 10, 3
2024/1/28, 26, 16, 7
2024/1/29, 48, 12, 9
2024/1/30, 37, 7, 4
2024/1/31, 26, 7, 2
2024/2/1, 26, 4, 2
2024/2/2, 11, 4, 2
2024/2/3, 11, 3, 2
2024/2/4, 7, 2, 2
2024/2/5, 7, 3, 2
2024/2/6, 12, 2, 2
2024/2/7, 8, 9, 4
2024/2/8, 14, 16, 6
2024/2/9, 33, 16, 6
2024/2/10, 37, 11, 6
2024/2/11, 30, 7, 3
2024/2/12, 12, 8, 2
2024/2/13, 16, 11, 5
2024/2/14, 34, 10, 6
2024/2/15, 24, 14, 5
2024/2/16, 31, 6, 2
2024/2/17, 19, 5, 3
2024/2/18, 13, 8, 4
2024/2/19, 21, 5, 2
2024/2/20, 7, 5, 2
2024/2/21, 15, 6, 3
2024/2/22, 15, 8, 3
2024/2/23, 13, 9, 5
2024/2/24, 17, 12, 5
2024/2/25, 35, 19, 7
2024/2/26, 37, 16, 6
2024/2/27, 40, 14, 4
2024/2/28, 57, 9, 3
2024/2/29, 31, 14, 4
2024/3/1, 55, 13, 5
2024/3/2, 48, 10, 5
2024/3/3, 33, 12, 5
2024/3/4, 34, 8, 3
2024/3/5, 29, 11, 3
2024/3/6, 26, 8, 7
2024/3/7, 26, 12, 5
2024/3/8, 33, 15, 6
2024/3/9, 43, 7, 5
2024/3/10, 21, 9, 4
2024/3/11, 22, 8, 3
2024/3/12, 24, 9, 3
2024/3/13, 26, 12, 5
2024/3/14, 39, 13, 5
2024/3/15, 30, 8, 4
2024/3/16, 22, 3, 2
2024/3/17, 8, 4, 2
2024/3/18, 10, 8, 3
2024/3/19, 22, 13, 6
2024/3/20, 38, 15, 6
2024/3/21, 38, 8, 3
2024/3/22, 21, 6, 4
2024/3/23, 14, 3, 2
2024/3/24, 7, 5, 3
2024/3/25, 9, 9, 5
2024/3/26, 20, 7, 4
2024/3/27, 14, 5, 3
2024/3/28, 17, 4, 2
2024/3/29, 9, 9, 4
2024/3/30, 56, 5, 3
2024/3/31, 68, 2, 2
2023/10/1, 14, 8, 1
2023/10/2, 18, 5, 1
2023/10/3, 20, 5, 1
2023/10/4, 8, 5, 1
2023/10/5, 13, 6, 1
2023/10/6, 12, 3, 8
2023/10/7, 13, 2, 1
2023/10/8, 7, 7, 1
2023/10/9, 14, 8, 2
2023/10/10, 25, 5, 2
2023/10/11, 23, 4, 1
2023/10/12, 22, 6, 1
2023/10/13, 20, 3, 1
2023/10/14, 19, 4, 1
2023/10/15, 8, 5, 1
2023/10/16, 10, 8, 2
2023/10/17, 20, 11, 3
2023/10/18, 39, 16, 5
