date, pm10, o3, no2, so2
2024/5/1, 12, 41, 1, 1
2024/5/2, 12, 41, 3, 2
2024/5/3, 11, 49, 4, 2
2024/5/4, 16, 47, 1, 2
2024/5/5, 12, 35, 3, 2
2024/5/6, 9, 32, 6, 2
2024/5/7, 13, 32, 3, 1
2024/5/8, 11, 45, 4, 2
2024/5/9, 15, 44, 5, 2
2024/5/10, 15, 38, 4, 2
2024/5/11, 14, 40, 2, 1
2024/5/12, 11, 42, 3, 2
2024/5/13, 9, 41, 3, 2
2024/5/14, 12, 37, 2, 1
2024/5/15, 12, 37, 1, 1
2024/5/16, 8, 37, 1, 1
2024/5/17, 8, , , 
2024/4/1, 86, 30, 3, 3
2024/4/2, 7, 36, 2, 2
2024/4/3, 7, 32, 1, 1
2024/4/4, 4, 35, 2, 2
2024/4/5, 6, 32, 3, 2
2024/4/6, 9, 38, 1, 1
2024/4/7, 8, 42, 1, 1
2024/4/8, 10, 43, 1, 2
2024/4/9, 15, 30, 3, 1
2024/4/10, 18, 31, 4, 2
2024/4/11, 18, 39, 4, 2
2024/4/12, 15, 37, 3, 2
2024/4/13, 13, 37, 2, 2
2024/4/14, 12, 24, 5, 2
2024/4/15, 14, 34, 2, 2
2024/4/16, 8, 24, 3, 1
2024/4/17, 8, 28, 4, 1
2024/4/18, 15, 34, 2, 2
2024/4/19, 8, 29, 2, 2
2024/4/20, 5, 25, 6, 1
2024/4/21, 10, 31, 6, 1
2024/4/22, 14, 29, 4, 1
2024/4/23, 18, 29, 8, 2
2024/4/24, 26, 34, 2, 1
2024/4/25, 9, 33, 2, 1
2024/4/26, 8, 17, 3, 1
2024/4/27, 11, 18, 3, 1
2024/4/28, 11, 16, 5, 1
2024/4/29, 11, 46, 4, 1
2024/4/30, 12, 45, 1, 1
2024/1/7, 12, 15, 9, 3
2024/1/8, 25, 9, 20, 9
2024/1/9, 66, 24, 17, 4
2024/1/10, 34, 22, 10, 3
2024/1/11, 14, 20, 11, 3
2024/1/12, 22, 22, 5, 3
2024/1/13, 9, 22, 3, 2
2024/1/14, 7, 26, 3, 1
2024/1/15, 7, 24, 5, 4
2024/1/16, 9, 28, 2, 2
2024/1/17, 7, 21, 9, 1
2024/1/18, 12, 19, 12, 3
2024/1/19, 17, 24, 6, 4
2024/1/20, 15, 29, 3, 1
2024/1/21, 10, 31, 1, 2
2024/1/22, 7, 26, 4, 3
2024/1/23, 11, 25, 3, 2
2024/1/24, 7, 27, 5, 2
2024/1/25, 10, 25, 6, 1
2024/1/26, 8, 27, 6, 1
2024/1/27, 9, 19, 5, 1
2024/1/28, 11, 27, 1, 1
2024/1/29, 6, 28, 2, 1
2024/1/30, 8, 25, 3, 4
2024/1/31, 18, 21, 6, 2
2024/2/1, 14, 24, 6, 2
2024/2/2, 11, 18, 6, 5
2024/2/3, 9, 31, 4, 4
2024/2/4, 4, 23, 4, 4
2024/2/5, 6, 27, 3, 4
2024/2/6, 11, 29, 2, 1
2024/2/7, 7, 30, 8, 1
2024/2/8, 12, 23, 2, 2
2024/2/9, 10, 30, 1, 1
2024/2/10, 10, 27, 1, 2
2024/2/11, 7, 20, 5, 5
2024/2/12, 7, 19, 7, 3
2024/2/13, 13, 28, 4, 2
2024/2/14, 11, 24, 2, 2
2024/2/15, 11, 29, 2, 2
2024/2/16, 9, 29, 5, 3
2024/2/17, 14, 27, 5, 2
2024/2/18, 13, 26, 3, 3
2024/2/19, 7, 24, 5, 4
2024/2/20, 8, 26, 3, 2
2024/2/21, 9, 31, 2, 2
2024/2/22, 9, 31, 2, 2
2024/2/23, 4, 32, 3, 3
2024/2/24, 7, 31, 2, 2
2024/2/25, 7, 32, 1, 2
2024/2/26, 7, 31, 2, 4
2024/2/27, 18, 23, 8, 2
2024/2/28, 38, 24, 8, 1
2024/2/29, 22, 26, 7, 1
2024/3/1, 22, 27, 4, 1
2024/3/2, 16, 33, 1, 1
2024/3/3, 8, 37, 3, 2
2024/3/4, 14, 11, 8, 1
2024/3/5, 29, 14, 11, 2
2024/3/6, 26, 24, 6, 1
2024/3/7, 18, 22, 8, 2
2024/3/8, 30, 32, 2, 1
2024/3/9, 13, 33, 1, 1
2024/3/10, 8, 28, 2, 1
2024/3/11, 13, 5, 9, 1
2024/3/12, 20, 18, 9, 1
2024/3/13, 25, 33, 5, 1
2024/3/14, 20, 32, 3, 1
2024/3/15, 14, 31, 2, 1
2024/3/16, 10, 32, 4, 1
2024/3/17, 8, 27, 6, 1
2024/3/18, 11, 21, 8, 2
2024/3/19, 24, 31, 6, 2
2024/3/20, 18, 36, 5, 2
2024/3/21, 17, 27, 6, 2
2024/3/22, 17, 35, 3, 1
2024/3/23, 9, 32, 2, 2
2024/3/24, 6, 25, 3, 1
2024/3/25, 4, 36, 1, 1
2024/3/26, 6, 34, 1, 1
2024/3/27, 10, 34, 1, 1
2024/3/28, 21, 36, 1, 1
2024/3/29, 6, 36, , 1
2024/3/30, 62, 36, , 1
2024/3/31, 67, 34, , 1
2023/10/1, 10, 34, 2, 2
2023/10/2, 8, 36, 1, 2
2023/10/3, 12, 27, 3, 2
2023/10/4, 7, 30, 2, 3
2023/10/5, 7, 30, 3, 3
2023/10/6, 9, 29, 1, 2
2023/10/7, 9, 22, 5, 3
2023/10/8, 8, 21, 2, 2
2023/10/9, 5, 11, 4, 2
2023/10/10, 7, 28, 1, 2
2023/10/11, 13, 31, 2, 2
2023/10/12, 17, 31, 1, 2
2023/10/13, 12, 33, 2, 2
2023/10/14, 17, 20, 2, 2
2023/10/15, 8, 22, 4, 7
2023/10/16, 8, 18, 4, 3
2023/10/17, 11, 29, 3, 2
