date, pm10, o3, no2, so2, co
2024/5/1, 17, 43, , 3, 
2024/5/2, 25, 43, 1, 3, 
2024/5/3, 13, 41, 2, 4, 
2024/5/4, 11, 44, 3, 4, 
2024/5/5, 17, 25, 4, 3, 
2024/5/6, 13, 29, 5, 3, 
2024/5/7, 19, 41, 4, 2, 
2024/5/8, 23, 45, 6, 2, 
2024/5/9, 24, 47, 6, 3, 
2024/5/10, 23, 37, 7, 3, 
2024/5/11, 22, 45, 3, 2, 
2024/5/12, 15, 44, 5, 2, 
2024/5/13, 17, 46, 6, 3, 
2024/5/14, 23, 32, 3, 3, 
2024/5/15, 23, 39, 2, 2, 
2024/5/16, 26, 36, 3, 3, 
2024/5/17, 17, 33, 1, 2, 
2024/5/18, 9, 35, 2, 2, 
2024/5/19, 10, 41, 3, 3, 
2024/5/20, 11, 43, 5, 3, 
2024/5/21, 21, 15, 7, 3, 
2024/5/22, 19, , , , 
2024/4/1, 42, 36, 1, 3, 
2024/4/2, 8, 32, 3, 3, 
2024/4/3, 12, 33, 2, 3, 
2024/4/4, 9, 33, 2, 3, 
2024/4/5, 9, 35, 5, 3, 
2024/4/6, 14, 46, 7, 4, 
2024/4/7, 25, 41, 3, 3, 
2024/4/8, 21, 44, 2, 4, 
2024/4/9, 24, 32, 1, 3, 
2024/4/10, 10, 38, 5, 3, 
2024/4/11, 21, 40, 7, 3, 
2024/4/12, 21, 35, 4, 3, 
2024/4/13, 18, 34, 1, 3, 
2024/4/14, 17, 30, 3, 3, 
2024/4/15, 14, 36, 2, 3, 
2024/4/16, 15, 29, 3, 2, 
2024/4/17, 8, 31, 4, 3, 
2024/4/18, 17, 30, 4, 3, 
2024/4/19, 13, 28, 2, 3, 
2024/4/20, 7, 37, 3, 3, 
2024/4/21, 14, 37, 2, 3, 
2024/4/22, 11, 36, 7, 3, 
2024/4/23, 23, 37, 8, 4, 
2024/4/24, 26, 34, 4, 3, 
2024/4/25, 15, 40, 5, 3, 
2024/4/26, 17, 43, 3, 3, 
2024/4/27, 12, 41, 3, 3, 
2024/4/28, 12, 45, 6, 3, 
2024/4/29, 29, 53, 1, 3, 
2024/4/30, 22, 48, , 3, 
2024/1/7, 15, 14, 8, 4, 
2024/1/8, 40, 8, 18, 11, 
2024/1/9, 83, 9, 25, 12, 
2024/1/10, 90, 18, 15, 6, 
2024/1/11, 32, 17, 6, 3, 
2024/1/12, 13, 20, 4, 3, 
2024/1/13, 10, 16, 4, 4, 
2024/1/14, 11, 17, 5, 4, 
2024/1/15, 18, 25, 6, 3, 
2024/1/16, 15, 20, 6, 3, 
2024/1/17, 15, 24, 6, 3, 
2024/1/18, 12, 21, 11, 4, 
2024/1/19, 23, 21, 9, 4, 
2024/1/20, 19, 26, 4, 3, 
2024/1/21, 12, 24, 4, 2, 
2024/1/22, 16, 26, 4, 4, 
2024/1/23, 10, 28, 2, 3, 
2024/1/24, 8, 28, , 2, 
2024/1/25, 9, 28, 4, 3, 
2024/1/26, 11, 27, , 2, 
2024/1/27, 10, 20, 8, 2, 
2024/1/28, 15, 23, 2, 2, 
2024/1/29, 12, 23, 3, 2, 
2024/1/30, 19, 18, 6, 3, 
2024/1/31, 24, 24, 3, 2, 
2024/2/1, 12, 23, 3, 1, 
2024/2/2, 14, 24, 1, 1, 
2024/2/3, 7, 30, , 1, 
2024/2/4, 5, 22, 1, 1, 
2024/2/5, 11, 19, 3, 2, 
2024/2/6, 17, 28, 2, 2, 
2024/2/7, 10, 21, 6, 2, 
2024/2/8, 17, 20, 4, 3, 
2024/2/9, 17, 22, 7, 4, 
2024/2/10, 22, 26, 2, 3, 
2024/2/11, 11, 24, 2, 3, 
2024/2/12, 7, 27, 5, 3, 
2024/2/13, 24, 23, 7, 3, 
2024/2/14, 25, 19, 3, 3, 
2024/2/15, 9, 28, 3, 3, 
2024/2/16, 16, 30, 2, 3, 
2024/2/17, 11, 28, 1, 3, 
2024/2/18, 12, 29, 1, 3, 
2024/2/19, 7, 30, 1, 2, 
2024/2/20, 7, 26, 3, 3, 
2024/2/21, 14, 29, 1, 2, 
2024/2/22, 8, 32, 2, 2, 
2024/2/23, 8, 31, 2, 3, 
2024/2/24, 8, 24, 6, 3, 
2024/2/25, 19, 26, 8, 4, 
2024/2/26, 39, 15, 10, 4, 
2024/2/27, 52, 10, 6, 3, 
2024/2/28, 23, 28, 7, 4, 
2024/2/29, 24, 32, 5, 3, 
2024/3/1, 22, 27, 4, 3, 
2024/3/2, 27, 30, 4, 3, 
2024/3/3, 21, 23, 7, 3, 
2024/3/4, 44, 21, 5, 3, 
