date, pm25, pm10, o3, no2, so2, co
2021/10/1, 68, 18, , , , 
2021/10/2, 59, 19, , , , 
2021/10/3, 59, 18, , , , 
2021/10/4, 55, 26, , , , 
2021/10/5, 61, 25, , , , 
2021/10/6, 59, 28, , , , 
2021/10/7, 62, 24, , , , 
2021/10/8, 62, 28, , , , 
2021/10/9, 83, 31, , , , 
2021/10/10, 90, 41, , , , 
2021/10/11, 100, 22, , , , 
2021/10/12, 70, 18, , , , 
2021/10/13, 63, 18, , , , 
2021/10/14, 63, 13, , , , 
2021/10/15, 53, 9, , , , 
2021/10/16, 36, , , , , 
2021/10/18, 83, 18, , , , 
2021/10/19, 62, 15, , , , 
2021/10/20, 52, 29, , , , 
2021/10/21, 54, 10, , , , 
2021/10/22, 27, 8, , , , 
2021/10/23, 32, 20, , , , 
2021/10/24, 69, 24, , , , 
2021/10/25, 77, 26, , , , 
2021/10/26, 79, 20, , , , 
2021/10/27, 67, 22, , , , 
2021/10/28, 72, 36, , , , 
2021/10/29, 104, 32, , , , 
2021/10/30, 91, 24, , , , 
2021/10/31, 76, 27, , , , 
2021/11/1, 81, 36, , , , 
2021/11/2, 104, 22, , , , 
2021/11/3, 72, 12, , , , 
2021/11/4, 46, 9, , , , 
2021/11/5, 37, 12, , , , 
2021/11/6, 49, 15, , , , 
2021/11/7, 58, 12, , , , 
2021/11/8, 48, 18, , , , 
2021/11/9, 63, 35, , , , 
2021/11/10, 102, 41, , , , 
2021/11/11, 116, 39, , , , 
2021/11/12, 116, 36, , , , 
2021/11/13, 106, 51, , , , 
2021/11/14, 141, 31, , , , 
2021/11/15, 94, 39, , , , 
2021/11/16, 110, 42, , , , 
2021/11/17, 115, 19, , , , 
2021/11/18, 66, 9, , , , 
2021/11/19, 40, 8, , , , 
2021/11/20, 32, 16, , , , 
2021/11/21, 61, 20, , , , 
2021/11/22, 66, 20, , , , 
2021/11/23, 69, 20, , , , 
2021/11/24, 71, 29, , , , 
2021/11/25, 89, 31, , , , 
2021/11/26, 94, 21, , , , 
2021/11/27, 72, 39, , , , 
2021/11/28, 115, 17, , , , 
2021/11/29, 64, 13, , , , 
2021/11/30, 51, 15, , , , 
2021/12/1, 59, 9, , , , 
2021/12/2, 33, 12, , , , 
2021/12/3, 47, 23, , , , 
2021/12/4, 75, 33, , , , 
2021/12/5, 101, 30, , , , 
2021/12/6, 92, 20, , , , 
2021/12/7, 69, 23, , , , 
2021/12/8, 76, 21, , , , 
2021/12/9, 72, 31, , , , 
2021/12/10, 95, 48, , , , 
2021/12/11, 129, 51, , , , 
2021/12/12, 141, 37, , , , 
2021/12/13, 103, 35, , , , 
2021/12/14, 106, 34, , , , 
2021/12/15, 102, 18, , , , 
2021/12/16, 66, 11, , , , 
2021/12/17, 46, 15, , , , 
2021/12/18, 56, 8, , , , 
2021/12/19, 37, 7, , , , 
2021/12/20, 30, 13, , , , 
2021/12/21, 47, , , , , 
2021/7/1, 38, 12, , , , 
2021/7/2, 43, 11, , , , 
2021/7/3, 42, 18, , , , 
2021/7/4, 57, 16, , , , 
2021/7/5, 54, 17, , , , 
2021/7/6, 55, 20, , , , 
2021/7/7, 64, 19, , , , 
2021/7/8, 58, 14, , , , 
2021/7/9, 47, 13, , , , 
2021/7/10, 42, 12, , , , 
2021/7/11, 43, 16, , , , 
2021/7/12, 52, 16, , , , 
2021/7/13, 53, 23, , , , 
2021/7/14, 64, 11, , , , 
2021/7/15, 37, 12, , , , 
2021/7/16, 43, 16, , , , 
2021/7/17, 52, 13, , , , 
2021/7/18, 46, 12, , , , 
2021/7/19, 41, 10, , , , 
2021/7/20, 33, 11, , , , 
2021/7/21, 35, 11, , , , 
2021/7/22, 34, 16, , , , 
2021/7/23, 49, 16, , , , 
2021/7/24, 55, 15, , , , 
2021/7/25, 51, 15, , , , 
2021/7/26, 53, 19, , , , 
2021/7/27, 60, 12, , , , 
2021/7/28, 43, 11, , , , 
2021/7/29, 38, 12, , , , 
2021/7/30, 37, 15, , , , 
2021/7/31, 48, 11, , , , 
2021/8/1, 36, 9, , , , 
2021/8/2, 33, 8, , , , 
2021/8/3, 29, 10, , , , 
2021/8/4, 37, 10, , , , 
2021/8/5, 38, 3, , , , 
2021/8/6, 13, 7, , , , 
2021/8/7, 27, 9, , , , 
2021/8/8, 34, 9, , , , 
2021/8/9, 32, 8, , , , 
2021/8/10, 32, 9, , , , 
2021/8/11, 35, 10, , , , 
2021/8/12, 36, 13, , , , 
2021/8/13, 45, 18, , , , 
2021/8/14, 57, 15, , , , 
2021/8/15, 50, 12, , , , 
2021/8/16, 45, 9, , , , 
2021/8/17, 32, 9, , , , 
2021/8/18, 32, 9, , , , 
2021/8/19, 33, 11, , , , 
2021/8/20, 41, 10, , , , 
2021/8/21, 41, 9, , , , 
2021/8/22, 39, 9, , , , 
2021/8/23, 37, 7, , , , 
2021/8/24, 27, 8, , , , 
2021/8/25, 31, 8, , , , 
2021/8/26, 34, 11, , , , 
2021/8/27, 44, 14, , , , 
2021/8/28, 52, 16, , , , 
2021/8/29, 57, 17, , , , 
2021/8/30, 60, 9, , , , 
2021/8/31, 35, 6, , , , 
2021/9/1, 23, 7, , , , 
2021/9/2, 26, 9, , , , 
2021/9/3, 34, 7, , , , 
2021/9/4, 27, 8, , , , 
2021/9/5, 32, 8, , , , 
2021/9/6, 33, 12, , , , 
2021/9/7, 46, 20, , , , 
2021/9/8, 64, 18, , , , 
2021/9/9, 60, 16, , , , 
2021/9/10, 51, 19, , , , 
2021/9/11, 61, 18, , , , 
2021/9/12, 62, 14, , , , 
2021/9/13, 51, 10, , , , 
2021/9/14, 38, 15, , , , 
2021/9/15, 55, 21, , , , 
2021/9/16, 67, 14, , , , 
2021/9/17, 51, 7, , , , 
2021/9/18, 29, 8, , , , 
2021/9/19, 30, 6, , , , 
2021/9/20, 25, 11, , , , 
2021/9/21, 43, 11, , , , 
2021/9/22, 41, 14, , , , 
2021/9/23, 53, 9, , , , 
2021/9/24, 26, , , , , 
2021/9/27, 27, 9, , , , 
2021/9/28, 33, 18, , , , 
