date, pm25, pm10, o3, no2, so2, co
2024/5/1, 35, 20, 50, 3, 4, 
2024/5/2, 37, 14, 53, 2, 4, 
2024/5/3, 34, 12, 52, 1, 4, 
2024/5/4, 37, 18, 47, 8, 4, 
2024/5/5, 46, 13, 26, 10, 4, 
2024/5/6, 38, 11, 34, 6, 2, 
2024/5/7, 37, 14, 44, 4, 1, 
2024/5/8, 35, 13, 46, 7, 2, 
2024/5/9, 30, 19, 47, 12, 3, 
2024/5/10, 41, 23, 39, 14, 4, 
2024/5/11, 56, 10, 48, 2, 4, 
2024/5/12, 25, 14, 49, 4, 4, 
2024/5/13, 30, 14, 49, 4, 5, 
2024/5/14, 26, 20, 46, 2, 5, 
2024/5/15, 29, 26, 50, 3, 5, 
2024/5/16, 35, 20, 44, 3, 5, 
2024/5/17, 36, 11, 35, 4, 5, 
2024/5/18, 33, 9, 38, 5, 5, 
2024/5/19, 28, 10, 48, 7, 6, 
2024/5/20, 28, 17, 54, 9, 6, 
2024/5/21, 46, 19, 41, 6, 7, 
2024/5/22, 51, , , , , 
2024/4/1, 74, 9, 38, 2, 5, 
2024/4/2, 20, 9, 38, 3, 2, 
2024/4/3, 21, 10, 33, 6, 2, 
2024/4/4, 29, 10, 37, 4, 2, 
2024/4/5, 25, 11, 41, 6, 2, 
2024/4/6, 25, 19, 43, 10, 3, 
2024/4/7, 44, 23, 42, 10, 3, 
2024/4/8, 42, 25, 46, 6, 4, 
2024/4/9, 43, 14, 37, 3, 1, 
2024/4/10, 28, 17, 42, 8, 2, 
2024/4/11, 38, 20, 41, 9, 4, 
2024/4/12, 40, 18, 38, 4, 5, 
2024/4/13, 37, 17, 40, 4, 5, 
2024/4/14, 36, 13, 32, 6, 6, 
2024/4/15, 37, 18, 40, 3, 7, 
2024/4/16, 27, 7, 32, 6, 5, 
2024/4/17, 25, 10, 34, 6, 4, 
2024/4/18, 35, 11, 36, 5, 5, 
2024/4/19, 33, 8, 28, 3, 5, 
2024/4/20, 29, 11, 38, 3, 3, 
2024/4/21, 40, 10, 37, 4, 2, 
2024/4/22, 34, 23, 41, 10, 3, 
2024/4/23, 65, 21, 40, 6, 5, 
2024/4/24, 63, 20, 38, 9, 6, 
2024/4/25, 50, 13, 43, 7, 5, 
2024/4/26, 35, 14, 49, 5, 6, 
2024/4/27, 40, 15, 46, 4, 6, 
2024/4/28, 38, 21, 49, 7, 7, 
2024/4/29, 45, 20, 55, 6, 4, 
2024/4/30, 41, 17, 59, 3, 4, 
2024/1/7, 53, 32, 16, 7, 2, 
2024/1/8, 89, 51, 9, 18, 4, 
2024/1/9, 131, 88, 5, 24, 6, 
2024/1/10, 182, 57, 12, 15, 3, 
2024/1/11, 128, 14, 17, 6, 1, 
2024/1/12, 52, 10, 21, 4, 2, 
2024/1/13, 37, 7, 21, 3, 3, 
2024/1/14, 31, 12, 22, 4, 4, 
2024/1/15, 37, 14, 21, 10, 3, 
2024/1/16, 39, 29, 16, 13, 6, 
2024/1/17, 84, 24, 14, 9, 4, 
2024/1/18, 77, 19, 23, 10, 2, 
2024/1/19, 56, 13, 27, 5, 1, 
2024/1/20, 43, 19, 27, 9, 1, 
2024/1/21, 61, 20, 21, 10, 1, 
2024/1/22, 53, 12, 26, 7, 1, 
2024/1/23, 37, 9, 31, 4, 2, 
2024/1/24, 28, 10, 32, 1, 2, 
2024/1/25, 29, 15, 32, 8, 1, 
2024/1/26, 42, 9, 31, 1, 1, 
2024/1/27, 30, 15, 22, 5, , 
2024/1/28, 50, 27, 16, 10, , 
2024/1/29, 74, 27, 20, 14, , 
2024/1/30, 66, 24, 18, 9, 1, 
2024/1/31, 64, 16, 25, 7, 1, 
2024/2/1, 47, 16, 24, 6, 3, 
2024/2/2, 45, 8, 21, 3, 6, 
2024/2/3, 29, 5, 34, 1, 6, 
2024/2/4, 19, 9, 27, 3, 6, 
2024/2/5, 26, 13, 25, 3, 7, 
2024/2/6, 32, 7, 29, 3, 7, 
2024/2/7, 22, 17, 21, 9, 5, 
2024/2/8, 53, 20, 19, 11, 4, 
2024/2/9, 62, 23, 17, 9, 5, 
2024/2/10, 66, 18, 22, 5, 5, 
2024/2/11, 56, 9, 18, 7, 4, 
2024/2/12, 29, 17, 20, 10, 2, 
2024/2/13, 49, 32, 18, 13, 1, 
