date, pm25, pm10, o3, no2, so2, co
2024/5/1, 47, 24, 39, 4, , 
2024/5/2, 40, 23, 41, 6, , 
2024/5/3, 44, 27, 44, 9, , 
2024/5/4, 58, 30, 39, 11, , 
2024/5/5, 67, 16, 33, 10, , 
2024/5/6, 48, 13, 33, 7, , 
2024/5/7, 35, 16, 35, 5, , 
2024/5/8, 40, 18, 36, 10, , 
2024/5/9, 41, 23, 31, 17, , 
2024/5/10, 56, 11, 34, 5, , 
2024/5/11, 30, 10, 36, 5, , 
2024/5/12, 26, 13, 38, 6, , 
2024/5/13, 30, 20, 38, 5, , 
2024/5/14, 41, 25, 37, 4, , 
2024/5/15, 43, 31, 39, 4, , 
2024/5/16, 49, 31, 37, 3, , 
2024/5/17, 44, 21, 35, 5, , 
2024/5/18, 47, 22, 31, 7, , 
2024/5/19, 64, 18, 32, 13, , 
2024/5/20, 56, 22, 46, 5, , 
2024/5/21, 64, 19, 28, 3, , 
2024/5/22, 56, , , , , 
2024/4/1, 110, 11, 31, 6, , 
2024/4/2, 36, 9, 28, 6, , 
2024/4/3, 31, 17, 23, 9, , 
2024/4/4, 59, 12, 27, 9, , 
2024/4/5, 43, 18, 30, 8, , 
2024/4/6, 55, 25, 30, 9, , 
2024/4/7, 72, 26, 25, 12, , 
2024/4/8, 64, 26, 33, 14, , 
2024/4/9, 58, 21, 27, 11, , 
2024/4/10, 50, 18, 33, 12, , 
2024/4/11, 48, 19, 26, 11, , 
2024/4/12, 51, 23, 31, 8, , 
2024/4/13, 62, 27, 35, 5, , 
2024/4/14, 49, 18, 34, 14, , 
2024/4/15, 47, 12, 31, 8, , 
2024/4/16, 41, 13, 29, 11, , 
2024/4/17, 43, 14, 28, 13, , 
2024/4/18, 46, 19, 31, 12, , 
2024/4/19, 63, 12, 30, 7, , 
2024/4/20, 48, 9, 35, 4, , 
2024/4/21, 38, 12, 28, 13, , 
2024/4/22, 43, 25, 31, 12, , 
2024/4/23, 71, 26, 31, 8, , 
2024/4/24, 75, 24, 30, 12, , 
2024/4/25, 74, 23, 31, 14, , 
2024/4/26, 65, 21, 35, 9, , 
2024/4/27, 61, 20, 35, 4, , 
2024/4/28, 59, 23, 34, 9, , 
2024/4/29, 57, 24, 38, 6, , 
2024/4/30, 55, 24, 41, 3, , 
2024/1/7, 67, 28, 16, 4, , 
2024/1/8, 87, 74, 12, 20, , 
2024/1/9, 165, 43, 16, 13, , 
2024/1/10, 120, 22, 20, 9, , 
2024/1/11, 76, 20, 20, 12, , 
2024/1/12, 67, 18, 18, 5, , 
2024/1/13, 65, 11, 24, 3, , 
2024/1/14, 44, 12, 27, 4, , 
2024/1/15, 47, 20, 27, 14, , 
2024/1/16, 64, 38, 18, 11, , 
2024/1/17, 113, 48, 21, 20, , 
2024/1/18, 138, 25, 20, 9, , 
2024/1/19, 83, 21, 19, 5, , 
2024/1/20, 72, 30, 22, 9, , 
2024/1/21, 94, 22, 22, 11, , 
2024/1/22, 68, 14, 21, 7, , 
2024/1/23, 55, 10, 30, 6, , 
2024/1/24, 42, 7, 30, 8, , 
2024/1/25, 30, 20, 27, 13, , 
2024/1/26, 62, 10, 29, 7, , 
2024/1/27, 40, 20, 22, 9, , 
2024/1/28, 65, 44, 15, 14, , 
2024/1/29, 122, 41, 14, 18, , 
2024/1/30, 105, 24, 28, 8, , 
2024/1/31, 78, 17, 27, 5, , 
2024/2/1, 56, 17, 28, 7, , 
2024/2/2, 58, 8, 29, 4, , 
2024/2/3, 33, 7, 29, 2, , 
2024/2/4, 30, 8, 28, 9, , 
2024/2/5, 29, 10, 22, 4, , 
2024/2/6, 41, 6, 30, 7, , 
