date, pm10, o3, no2, so2, co
2024/1/7, 20, 14, 9, 5, 
2024/1/8, 37, 15, 19, 13, 
2024/1/9, 63, 10, 28, 19, 
2024/1/10, 95, , , , 
2023/10/1, 17, 20, 14, 2, 
2023/10/2, 19, 35, 8, 2, 
2023/10/3, 22, 28, 5, , 
2023/10/4, 11, 29, 8, 1, 
2023/10/5, 17, 26, 6, 1, 
2023/10/6, 13, 25, 4, 2, 
2023/10/7, 14, 26, 2, , 
2023/10/8, 16, 12, 13, 1, 
2023/10/9, 27, 5, 10, 3, 
2023/10/10, 28, 26, 7, 3, 
2023/10/11, 26, 26, 7, 3, 
2023/10/12, 22, 24, 8, 2, 
2023/10/13, 19, 30, 5, 3, 
2023/10/14, 21, 27, 2, 1, 
2023/10/15, 9, 23, 4, 1, 
2023/10/16, 10, 19, 10, 2, 
2023/10/17, 35, 23, 13, 4, 
2023/10/18, 64, 4, 21, 6, 
2023/10/19, 48, 5, 16, 7, 
2023/10/20, 40, 21, 12, 4, 
2023/10/21, 41, 21, 5, 2, 
2023/10/22, 12, 17, 12, 3, 
2023/10/23, 32, 15, 15, 4, 
2023/10/24, 29, 17, 8, 3, 
2023/10/25, 23, 17, 11, 3, 
2023/10/26, 22, 9, 12, 5, 
2023/10/27, 30, 17, 5, 3, 
2023/10/28, 11, 24, 6, 4, 
2023/10/29, 14, 14, 11, 3, 
2023/10/30, 19, 27, 5, 3, 
2023/10/31, 13, 19, 6, 2, 
2023/11/1, 14, 29, 5, 3, 
2023/11/2, 13, 26, 9, 3, 
2023/11/3, 13, 21, 7, 3, 
2023/11/4, 18, 22, 5, 4, 
2023/11/5, 14, 22, 6, 2, 
2023/11/6, 13, 22, 13, 4, 
2023/11/7, 22, 20, 9, 2, 
2023/11/8, 15, 23, 12, 3, 
2023/11/9, 24, 12, 16, 4, 
2023/11/10, 29, 13, 9, 3, 
2023/11/11, 26, 16, 5, 2, 
2023/11/12, 14, 17, 13, 4, 
2023/11/13, 29, 21, 6, 3, 
2023/11/14, 12, 19, 4, 1, 
2023/11/15, 7, 11, 11, 3, 
2023/11/16, 17, 16, 7, 2, 
2023/11/17, 14, 14, 3, , 
2023/11/18, 13, 13, 8, 4, 
2023/11/19, 28, 19, 9, 2, 
2023/11/20, 16, 19, 7, 2, 
2023/11/21, 10, 18, 5, 1, 
2023/11/22, 19, 21, 6, 4, 
2023/11/23, 18, 27, 6, 2, 
2023/11/24, 10, 23, 4, 2, 
2023/11/25, 10, 25, 2, 1, 
2023/11/26, 10, 11, 12, 6, 
2023/11/27, 28, 8, 12, 7, 
2023/11/28, 30, 11, 10, 5, 
2023/11/29, 33, 13, 17, 12, 
2023/11/30, 41, 5, 20, 17, 
2023/12/1, 84, 16, 7, 5, 
2023/12/2, 28, 14, 9, 5, 
2023/12/3, 25, 8, 18, 11, 
2023/12/4, 46, 9, 22, 17, 
2023/12/5, 55, 4, 24, 17, 
2023/12/6, 64, 5, 15, 7, 
2023/12/7, 58, 5, 18, 13, 
2023/12/8, 60, 12, 12, 8, 
2023/12/9, 35, 13, 14, 10, 
2023/12/10, 36, 19, 9, 6, 
2023/12/11, 16, 15, 14, 6, 
2023/12/12, 24, 5, 20, 10, 
2023/12/13, 47, 5, 8, 4, 
2023/12/14, 28, 8, 10, 2, 
2023/12/15, 29, 7, 11, 4, 
2023/12/16, 28, 12, 9, 4, 
2023/12/17, 24, 10, 15, 7, 
2023/12/18, 28, 17, 12, 6, 
2023/12/19, 20, 17, 12, 4, 
2023/12/20, 17, 20, 5, 4, 
2023/12/21, 8, 29, 3, 3, 
2023/12/22, 9, 29, 2, 2, 
2023/12/23, 8, 28, 5, 4, 
2023/12/24, 14, 23, 2, 3, 
2023/12/25, 6, 27, 3, 3, 
2023/12/26, 6, 25, 11, 4, 
