date, pm25, pm10, o3, no2, so2, co
2016/8/29, 55, 19, 45, 11, 5, 2
2016/8/30, 46, 17, 38, 7, 4, 1
2016/8/31, 43, 14, 40, 6, 5, 1
2024/5/1, , 16, 45, 2, , 
2024/5/2, , 17, 46, 5, , 
2024/5/3, , 21, 49, 6, , 
2024/5/4, , 27, 46, 7, , 
2024/5/5, , 25, 36, 6, , 
2024/5/6, , 20, 31, 5, , 
2024/5/7, , 16, 31, 2, , 
2024/5/8, , 14, 43, 4, , 
2024/5/9, , 20, 48, 5, , 
2024/5/10, , 22, 37, 4, , 
2024/5/11, , 20, 41, 2, , 
2024/5/12, , 13, 42, 3, , 
2024/5/13, , 12, 38, 4, , 
2024/5/14, , 15, 36, 5, , 
2024/5/15, , 18, 38, 5, , 
2024/5/16, , 17, 39, 4, , 
2024/5/17, , 15, 38, 4, , 
2024/5/18, , 15, 34, 5, , 
2024/5/19, , 13, 37, 5, , 
2024/5/20, , 15, 40, 5, , 
2024/5/21, , 19, 22, 8, , 
2024/5/22, , 26, , , , 
2024/4/1, , 114, 33, 2, , 
2024/4/2, , 21, 39, 2, , 
2024/4/3, , 10, 35, 5, , 
2024/4/4, , 11, 36, 4, , 
2024/4/5, , 10, 34, 6, , 
2024/4/6, , 16, 34, 5, , 
2024/4/7, , 13, 39, 7, , 
2024/4/8, , 19, 42, 6, , 
2024/4/9, , 27, 21, 8, , 
2024/4/10, , 29, 25, 5, , 
2024/4/11, , 25, 39, 5, , 
2024/4/12, , 19, 40, 6, , 
2024/4/13, , 19, 39, 4, , 
2024/4/14, , 18, 29, 4, , 
2024/4/15, , 21, 40, 3, , 
2024/4/16, , 8, 26, 7, , 
2024/4/17, , 17, 32, 2, , 
2024/4/18, , 12, 37, 4, , 
2024/4/19, , 13, 34, 2, , 
2024/4/20, , 7, 25, 3, , 
2024/4/21, , 9, 32, 3, , 
2024/4/22, , 10, 33, 2, , 
2024/4/23, , 17, 22, 5, , 
2024/4/24, , 18, 38, 4, , 
2024/4/25, , 14, 40, 6, , 
2024/4/26, , 14, 48, 3, , 
2024/4/27, , 17, 44, 1, , 
2024/4/28, , 15, 44, 6, , 
2024/4/29, , 23, 45, 4, , 
2024/4/30, , 19, 47, 2, , 
2024/1/7, , 13, 20, 12, , 
2024/1/8, , 38, 16, 41, , 
2024/1/9, , 63, 15, 37, , 
2024/1/10, , 38, 26, 17, , 
2024/1/11, , 21, 23, 14, , 
2024/1/12, , 22, 25, 8, , 
2024/1/13, , 15, 27, 7, , 
2024/1/14, , 12, 30, 6, , 
2024/1/15, , 10, 24, 11, , 
2024/1/16, , 17, 23, 33, , 
2024/1/17, , 40, 13, 35, , 
2024/1/18, , 46, 26, 12, , 
2024/1/19, , 20, 28, 10, , 
2024/1/20, , 16, 24, 25, , 
2024/1/21, , 35, 21, 30, , 
2024/1/22, , 39, 27, 11, , 
2024/1/23, , 20, 31, 15, , 
2024/1/24, , 20, 31, 4, , 
2024/1/25, , 9, 30, 8, , 
2024/1/26, , 10, 31, 3, , 
2024/1/27, , 10, 27, 13, , 
2024/1/28, , 20, 17, 39, , 
2024/1/29, , 38, 16, 42, , 
2024/1/30, , 44, 19, 39, , 
2024/1/31, , 49, 27, 17, , 
2024/2/1, , 24, 28, 8, , 
2024/2/2, , 16, 26, 7, , 
2024/2/3, , 9, 30, 4, , 
2024/2/4, , 6, 27, 4, , 
2024/2/5, , 7, 29, 3, , 
