date, pm25, pm10, o3, no2, so2, co
2024/5/1, 35, 19, , 5, 1, 
2024/5/2, 38, 18, , 3, 1, 
2024/5/3, 40, 16, , 2, 1, 
2024/5/4, 36, 18, , 5, 1, 
2024/5/5, 44, 16, , 7, 1, 
2024/5/6, 43, 11, , 2, , 
2024/5/7, 30, 15, , 4, 1, 
2024/5/8, 39, 18, , 5, 1, 
2024/5/9, 39, 19, , 6, 1, 
2024/5/10, 43, 10, , 2, 1, 
2024/5/11, 30, 9, , 3, , 
2024/5/12, 24, 13, , 5, , 
2024/5/13, 32, 22, , 6, 1, 
2024/5/14, 45, 17, , 2, , 
2024/5/15, 35, 20, , 2, , 
2024/5/16, 43, 21, , 2, , 
2024/5/17, 38, 16, , 2, 1, 
2024/5/18, 38, 14, , 2, 1, 
2024/5/19, 43, 16, , 6, 1, 
2024/5/20, 46, 15, , 4, , 
2024/5/21, 45, 16, , 4, 1, 
2024/5/22, 51, , , , , 
2024/4/1, 96, 43, , 1, , 
2024/4/2, 66, 9, , 1, 1, 
2024/4/3, 28, 16, , 2, 1, 
2024/4/4, 49, 11, , 3, , 
2024/4/5, 35, 13, , 2, , 
2024/4/6, 38, 15, , 2, 1, 
2024/4/7, 47, 14, , 2, 1, 
2024/4/8, 39, 21, , 2, 1, 
2024/4/9, 49, 27, , 2, 1, 
2024/4/10, 61, 19, , 3, 1, 
2024/4/11, 49, 16, , 3, 1, 
2024/4/12, 44, 22, , 2, 1, 
2024/4/13, 56, 20, , 1, , 
2024/4/14, 47, 19, , 3, 1, 
2024/4/15, 44, 16, , 2, 1, 
2024/4/16, 42, 14, , 2, 1, 
2024/4/17, 45, 12, , 1, 1, 
2024/4/18, 43, 12, , 2, 1, 
2024/4/19, 40, 13, , 1, 1, 
2024/4/20, 42, 19, , 2, 1, 
2024/4/21, 62, 16, , 2, 2, 
2024/4/22, 53, 22, , 2, 2, 
2024/4/23, 64, 11, , 1, 1, 
2024/4/24, 39, 19, , 3, , 
2024/4/25, 60, 27, , 3, 1, 
2024/4/26, 74, 21, , 2, 1, 
2024/4/27, 59, 18, , 2, 1, 
2024/4/28, 52, 16, , 1, 1, 
2024/4/29, 41, 19, , 2, 1, 
2024/4/30, 40, 17, , 4, 1, 
2024/1/7, 37, 15, , 4, 1, 
2024/1/8, 57, 66, , 21, 6, 
2024/1/9, 156, 57, , 15, 6, 
2024/1/10, 148, 51, , 13, 6, 
2024/1/11, 138, 16, , 9, 2, 
2024/1/12, 54, 15, , 4, 1, 
2024/1/13, 55, 17, , 3, 1, 
2024/1/14, 62, 16, , 5, 1, 
2024/1/15, 59, 21, , 9, 2, 
2024/1/16, 64, 33, , 8, 4, 
2024/1/17, 92, 18, , 7, 2, 
2024/1/18, 58, 30, , 9, 2, 
2024/1/19, 88, 20, , 6, 2, 
2024/1/20, 66, 22, , 4, 2, 
2024/1/21, 71, 13, , 3, 1, 
2024/1/22, 48, 18, , 6, 1, 
2024/1/23, 63, 15, , 5, 1, 
2024/1/24, 56, 6, , 3, 1, 
2024/1/25, 26, 12, , 6, 3, 
2024/1/26, 41, 11, , 3, 1, 
2024/1/27, 43, 19, , 7, 3, 
2024/1/28, 62, 22, , 6, 1, 
2024/1/29, 70, 19, , 7, 1, 
2024/1/30, 62, 30, , 7, 2, 
2024/1/31, 84, 24, , 6, 2, 
2024/2/1, 73, 14, , 5, 1, 
2024/2/2, 46, 9, , 3, 1, 
2024/2/3, 37, 7, , 1, 1, 
2024/2/4, 28, 4, , 2, 1, 
2024/2/5, 20, 14, , 3, 1, 
2024/2/6, 44, 8, , 3, 1, 
2024/2/7, 31, 11, , 4, 1, 
2024/2/8, 44, 12, , 4, 1, 
2024/2/9, 45, 36, , 9, 1, 
2024/2/10, 103, 25, , 3, 1, 
2024/2/11, 70, 19, , 9, 1, 
2024/2/12, 58, 16, , 6, 2, 
2024/2/13, 54, 26, , 11, 3, 
2024/2/14, 66, 27, , 6, 2, 
2024/2/15, 75, 33, , 5, 3, 
2024/2/16, 87, 24, , 7, 2, 
2024/2/17, 72, 16, , 4, 2, 
2024/2/18, 53, 20, , 4, 1, 
2024/2/19, 64, 10, , 6, 1, 
2024/2/20, 41, 12, , 6, 1, 
2024/2/21, 44, 12, , 3, 1, 
2024/2/22, 44, 9, , 4, , 
2024/2/23, 37, 22, , 5, 1, 
2024/2/24, 69, 20, , 3, 1, 
2024/2/25, 63, 27, , 4, 1, 
2024/2/26, 74, 29, , 4, 1, 
2024/2/27, 78, 47, , 11, 2, 
2024/2/28, 105, 42, , 6, 1, 
2024/2/29, 111, 29, , 4, 1, 
2024/3/1, 79, 35, , 4, 4, 
2024/3/2, 90, 42, , 3, 2, 
2024/3/3, 104, 36, , 4, 1, 
2024/3/4, 96, 37, , 4, 2, 
2024/3/5, 95, 24, , 4, 1, 
2024/3/6, 69, 39, , 8, 1, 
2024/3/7, 95, 64, , 16, 3, 
2024/3/8, 136, , , 12, 8, 
2024/3/11, 66, 18, , 1, 1, 
2024/3/12, 60, 14, , 1, 1, 
2024/3/13, 53, 29, , 2, 1, 
2024/3/14, 79, 28, , 1, 1, 
2024/3/15, 75, 29, , 3, 1, 
2024/3/16, 78, 12, , 1, 1, 
2024/3/17, 44, 13, , 2, , 
2024/3/18, 47, 19, , 2, 1, 
2024/3/19, 65, 36, , 4, 1, 
2024/3/20, 95, 44, , 4, 2, 
2024/3/21, 111, 29, , 4, 2, 
2024/3/22, 79, 22, , 2, 1, 
2024/3/23, 67, 13, , 2, , 
2024/3/24, 43, 21, , 4, 1, 
2024/3/25, 60, 18, , 2, 2, 
2024/3/26, 57, 17, , 1, 2, 
2024/3/27, 47, 20, , 2, 1, 
2024/3/28, 47, 9, , 2, , 
2024/3/29, 28, 46, , 1, 1, 
2024/3/30, 65, 43, , , 1, 
2024/3/31, 56, 84, , , , 
2023/10/1, 35, 14, , 8, 1, 
2023/10/2, 43, 15, , 5, 1, 
2023/10/3, 40, 12, , 4, 1, 
2023/10/4, 30, 12, , 5, 1, 
2023/10/5, 37, 11, , 5, 1, 
2023/10/6, 34, 11, , 3, 1, 
2023/10/7, 31, 6, , 2, 1, 
2023/10/8, 18, 13, , 7, 1, 
2023/10/9, 41, 24, , 7, 1, 
2023/10/10, 71, 14, , 4, 1, 
2023/10/11, 45, 20, , 5, 1, 
2023/10/12, 54, 19, , 5, 1, 
2023/10/13, 54, 22, , 4, 1, 
2023/10/14, 55, 9, , 4, 1, 
2023/10/15, 28, 11, , 5, 1, 
2023/10/16, 38, 19, , 8, 1, 
2023/10/17, 59, 31, , 10, 2, 
2023/10/18, 89, 34, , 6, 2, 
2023/10/19, 90, 23, , 4, 1, 
2023/10/20, 68, 31, , 6, 1, 
2023/10/21, 62, 15, , 3, 1, 
2023/10/22, 40, 12, , 6, 1, 
2023/10/23, 38, 21, , 5, 1, 
2023/10/24, 59, 18, , 5, 1, 
2023/10/25, 55, 13, , 5, 1, 
2023/10/26, 44, 14, , 4, 1, 
2023/10/27, 47, 10, , 6, 1, 
2023/10/28, 39, 9, , 2, 1, 
2023/10/29, 30, 11, , 5, 1, 
2023/10/30, 34, 14, , 6, 1, 
2023/10/31, 42, 11, , 4, 1, 
2023/11/1, 40, 10, , 3, 1, 
2023/11/2, 33, 17, , 2, 1, 
2023/11/3, 53, 27, , 7, 1, 
2023/11/4, 70, 11, , 2, 1, 
2023/11/5, 38, 7, , 4, 1, 
2023/11/6, 25, 17, , 8, 1, 
2023/11/7, 50, 22, , 7, 1, 
2023/11/8, 69, 16, , 5, 1, 
2023/11/9, 52, 14, , 4, 1, 
2023/11/10, 41, 21, , 3, 1, 
2023/11/11, 67, 17, , 3, 1, 
2023/11/12, 61, 18, , 7, 2, 
2023/11/13, 59, 11, , 4, 1, 
2023/11/14, 41, 10, , 5, 1, 
2023/11/15, 37, 18, , 5, 1, 
2023/11/16, 57, 13, , 3, 1, 
2023/11/17, 52, 17, , 3, 1, 
2023/11/18, 59, 19, , 3, 1, 
2023/11/19, 65, 18, , 6, 1, 
2023/11/20, 60, 17, , 3, 1, 
2023/11/21, 58, 24, , 6, 2, 
2023/11/22, 75, 19, , 4, 2, 
2023/11/23, 64, 11, , 4, 2, 
2023/11/24, 39, 13, , 4, 2, 
2023/11/25, 49, 10, , 2, 1, 
2023/11/26, 43, 15, , 4, 2, 
2023/11/27, 54, 23, , 5, 2, 
2023/11/28, 74, 21, , 6, , 
2023/11/29, 69, 29, , 8, 1, 
2023/11/30, 88, 57, , 14, 2, 
2023/12/1, 142, 29, , 6, 4, 
2023/12/2, 86, 22, , 5, 1, 
2023/12/3, 72, 35, , 10, 3, 
2023/12/4, 97, 53, , 10, 4, 
2023/12/5, 142, 39, , 8, 2, 
2023/12/6, 108, 29, , 5, 2, 
2023/12/7, 85, 27, , 5, 2, 
2023/12/8, 79, 30, , 6, 5, 
2023/12/9, 84, 29, , 8, 13, 
2023/12/10, 84, 12, , 5, 1, 
2023/12/11, 49, 15, , 8, 1, 
2023/12/12, 53, 25, , 9, 1, 
2023/12/13, 77, 18, , 6, 1, 
2023/12/14, 63, 18, , 7, 1, 
2023/12/15, 62, 25, , 7, 1, 
2023/12/16, 78, 17, , 4, 1, 
2023/12/17, 61, 18, , 7, 2, 
2023/12/18, 62, 22, , 6, 1, 
2023/12/19, 70, 18, , 7, 1, 
2023/12/20, 62, 9, , 5, , 
2023/12/21, 37, 8, , 4, , 
2023/12/22, 29, 8, , 2, , 
2023/12/23, 31, 11, , 3, , 
2023/12/24, 43, 5, , 1, , 
2023/12/25, 23, 6, , 1, , 
2023/12/26, 25, 12, , 5, , 
2023/12/27, 38, 19, , 6, 1, 
2023/12/28, 63, 19, , 3, 1, 
2023/12/29, 65, , , , , 
2023/7/1, 56, 17, , 3, 1, 
2023/7/2, 53, 14, , 5, 1, 
2023/7/3, 42, 18, , 6, 1, 
2023/7/4, 54, 17, , 6, 1, 
2023/7/5, 53, 15, , 6, 2, 
2023/7/6, 47, 13, , 4, 1, 
2023/7/7, 35, 15, , 7, 1, 
2023/7/8, 44, 15, , 6, 1, 
2023/7/9, 46, 11, , 6, 1, 
2023/7/10, 31, 11, , 5, 1, 
2023/7/11, 37, 15, , 6, 1, 
2023/7/12, 47, 13, , 5, 1, 
2023/7/13, 44, 20, , 5, 1, 
2023/7/14, 47, 14, , 6, 1, 
2023/7/15, 45, 16, , 5, 1, 
2023/7/16, 51, 17, , 6, 1, 
2023/7/17, 49, 13, , 4, 1, 
2023/7/18, 38, 13, , 6, 1, 
2023/7/19, 37, 11, , 4, , 
2023/7/20, 36, 10, , 4, 1, 
2023/7/21, 33, 12, , 4, 1, 
2023/7/22, 37, 12, , 4, 1, 
2023/7/23, 39, 14, , 5, 1, 
2023/7/24, 43, 11, , 5, 1, 
2023/7/25, 38, 11, , 3, , 
2023/7/26, 33, 6, , 3, 1, 
2023/7/27, 21, 8, , 4, 1, 
2023/7/28, 29, 11, , 5, 1, 
2023/7/29, 38, 9, , 4, 1, 
2023/7/30, 30, 11, , 6, 1, 
2023/7/31, 36, 12, , 6, 1, 
2023/8/1, 37, 7, , 5, 1, 
2023/8/2, 26, 8, , 4, 1, 
2023/8/3, 25, 10, , 6, 1, 
2023/8/4, 31, 15, , 8, 1, 
2023/8/5, 43, 17, , 5, 1, 
2023/8/6, 47, 6, , 3, 1, 
2023/8/7, 19, 10, , 3, 1, 
2023/8/8, 25, 7, , 3, 1, 
2023/8/9, 22, 10, , 5, 1, 
2023/8/10, 32, 16, , 6, 1, 
2023/8/11, 43, 20, , 9, 1, 
2023/8/12, 48, 27, , 10, 1, 
2023/8/13, 66, 21, , 10, 1, 
2023/8/14, 55, 28, , 10, 1, 
2023/8/15, 56, 36, , 10, 1, 
2023/8/16, 68, 40, , 12, 1, 
2023/8/17, 76, 29, , 9, 1, 
2023/8/18, 62, 30, , 10, 1, 
2023/8/19, 64, 23, , 10, 1, 
2023/8/20, 65, 22, , 11, 1, 
2023/8/21, 57, 19, , 12, 1, 
2023/8/22, 46, 15, , 11, 1, 
2023/8/23, 45, 19, , 12, 1, 
2023/8/24, 46, 31, , 11, 1, 
2023/8/25, 63, 21, , 8, 1, 
2023/8/26, 54, 16, , 7, 1, 
2023/8/27, 45, 21, , 14, 1, 
2023/8/28, 57, 23, , 8, 1, 
2023/8/29, 56, 12, , 8, 1, 
2023/8/30, 36, 11, , 6, 1, 
2023/8/31, 39, 11, , 6, 1, 
2023/9/1, 36, 10, , 6, 1, 
2023/9/2, 36, 11, , 6, 1, 
2023/9/3, 39, 9, , 6, 1, 
