date, pm25, pm10, o3, no2, so2, co
2024/5/1, 40, 21, 42, 2, , 
2024/5/2, 36, 19, 46, 2, , 
2024/5/3, 41, 20, 48, 3, , 
2024/5/4, 47, 23, 46, 4, , 
2024/5/5, 49, 15, 34, 4, , 
2024/5/6, 39, 14, 32, 4, , 
2024/5/7, 35, 15, 36, 3, , 
2024/5/8, 37, 13, 38, 3, , 
2024/5/9, 31, 20, 32, 9, , 
2024/5/10, 50, 8, 33, 2, , 
2024/5/11, 26, 10, 35, 3, , 
2024/5/12, 26, 11, 38, 3, , 
2024/5/13, 28, 18, 38, 4, , 
2024/5/14, 39, 19, 37, 1, , 
2024/5/15, 37, 24, 37, 1, , 
2024/5/16, 44, 22, 37, 1, , 
2024/5/17, 35, 17, 38, 2, , 
2024/5/18, 36, 16, 40, 4, , 
2024/5/19, 44, 18, 42, 8, , 
2024/5/20, 50, 19, 47, 3, , 
2024/5/21, 53, 13, 35, 2, , 
2024/5/22, 47, , , , , 
2024/4/1, 107, 18, 28, 3, , 
2024/4/2, 48, 7, 27, 2, , 
2024/4/3, 27, 14, 18, 6, , 
2024/4/4, 54, 11, 29, 5, , 
2024/4/5, 39, 12, 34, 5, , 
2024/4/6, 43, 19, 37, 5, , 
2024/4/7, 59, 18, 39, 6, , 
2024/4/8, 47, 22, 43, 7, , 
2024/4/9, 51, 19, 28, 6, , 
2024/4/10, 51, 12, 35, 5, , 
2024/4/11, 32, 14, 27, 5, , 
2024/4/12, 42, 22, 33, 4, , 
2024/4/13, 59, 22, 32, 3, , 
2024/4/14, 49, 16, 33, 5, , 
2024/4/15, 39, 10, 32, 4, , 
2024/4/16, 36, 11, 19, 7, , 
2024/4/17, 47, 9, 25, 6, , 
2024/4/18, 39, 13, 31, 5, , 
2024/4/19, 49, 11, 22, 3, , 
2024/4/20, 46, 8, 33, 1, , 
2024/4/21, 33, 9, 31, 3, , 
2024/4/22, 35, 18, 29, 5, , 
2024/4/23, 60, 18, 19, 5, , 
2024/4/24, 62, 20, 33, 5, , 
2024/4/25, 65, 21, 36, 9, , 
2024/4/26, 61, 17, 42, 5, , 
2024/4/27, 51, 19, 42, 3, , 
2024/4/28, 53, 17, 42, 3, , 
2024/4/29, 42, 24, 43, 2, , 
2024/4/30, 44, 20, 45, 2, , 
2024/1/7, 69, 30, 14, 6, , 
2024/1/8, 91, 56, 12, 14, , 
2024/1/9, 144, 45, 14, 10, , 
2024/1/10, 131, 23, 22, 6, , 
2024/1/11, 77, 14, 20, 7, , 
2024/1/12, 52, 15, 20, 3, , 
2024/1/13, 59, 11, 22, 2, , 
2024/1/14, 47, 12, 25, 3, , 
2024/1/15, 49, 14, 27, 6, , 
2024/1/16, 47, 35, 22, 12, , 
2024/1/17, 106, 37, 15, 10, , 
2024/1/18, 110, 23, 21, 6, , 
2024/1/19, 78, 19, 21, 4, , 
2024/1/20, 68, 23, 19, 7, , 
2024/1/21, 77, 16, 25, 6, , 
2024/1/22, 58, 13, 22, 5, , 
2024/1/23, 55, 8, 26, 3, , 
2024/1/24, 35, 3, 27, 2, , 
2024/1/25, 15, 10, 20, 6, , 
2024/1/26, 36, 8, 26, 3, , 
2024/1/27, 31, 19, 18, 5, , 
2024/1/28, 68, 17, 17, 8, , 
2024/1/29, 62, 27, 14, 11, , 
2024/1/30, 84, 20, 21, 7, , 
2024/1/31, 69, 13, 24, 3, , 
2024/2/1, 51, 13, 24, 3, , 
2024/2/2, 47, 7, 28, 2, , 
2024/2/3, 28, 6, 26, 1, , 
2024/2/4, 23, 4, 26, 2, , 
2024/2/5, 18, 8, 21, 2, , 
2024/2/6, 34, 5, 29, 2, , 
2024/2/7, 23, 16, 20, 9, , 
2024/2/8, 57, 19, 22, 5, , 
2024/2/9, 68, 27, 12, 4, , 
2024/2/10, 89, 24, 15, 2, , 
2024/2/11, 80, 12, 19, 4, , 
2024/2/12, 47, 10, 22, 4, , 
2024/2/13, 36, 17, 23, 7, , 
2024/2/14, 56, 24, 18, 9, , 
2024/2/15, 76, 21, 20, 7, , 
2024/2/16, 68, 14, 21, 4, , 
2024/2/17, 51, 11, 29, 3, , 
2024/2/18, 33, 17, 17, 5, , 
2024/2/19, 61, 10, 25, 4, , 
2024/2/20, 43, 17, 17, 6, , 
2024/2/21, 62, 16, 19, 7, , 
2024/2/22, 59, 19, 19, 9, , 
2024/2/23, 68, 24, 24, 6, , 
2024/2/24, 75, 30, 24, 6, , 
2024/2/25, 93, 29, 24, 8, , 
2024/2/26, 89, 36, 14, 10, , 
2024/2/27, 102, 40, 12, 11, , 
2024/2/28, 119, 17, 13, 4, , 
2024/2/29, 63, 29, 20, 2, , 
2024/3/1, 84, 29, 14, 2, , 
2024/3/2, 87, 32, 27, 2, , 
2024/3/3, 92, 28, 18, 2, , 
2024/3/4, 83, 20, 13, 4, , 
2024/3/5, 71, 22, 27, 2, , 
2024/3/6, 73, 28, 29, 7, , 
2024/3/7, 84, 55, 30, 15, , 
2024/3/8, 132, 49, 34, 10, , 
2024/3/9, 127, 28, 31, 3, , 
2024/3/10, 86, 17, 26, 2, , 
2024/3/11, 60, 22, 18, 2, , 
2024/3/12, 74, 25, 11, 4, , 
2024/3/13, 82, 34, 12, 9, , 
2024/3/14, 100, 24, 24, 6, , 
2024/3/15, 77, 22, 23, 7, , 
2024/3/16, 72, 6, 28, 2, , 
2024/3/17, 26, 9, 23, 5, , 
2024/3/18, 36, 18, 19, 7, , 
2024/3/19, 63, 30, 17, 7, , 
2024/3/20, 91, 32, 25, 8, , 
2024/3/21, 94, 23, 16, 8, , 
2024/3/22, 78, 17, 31, 5, , 
2024/3/23, 60, 14, 28, 3, , 
2024/3/24, 55, 20, 21, 6, , 
2024/3/25, 68, 22, 27, 6, , 
2024/3/26, 72, 15, 33, 2, , 
2024/3/27, 47, 22, 23, 5, , 
2024/3/28, 56, 11, 32, 6, , 
2024/3/29, 34, 24, 34, 3, , 
2024/3/30, 55, 57, 33, 2, , 
2024/3/31, 84, 72, 31, 3, , 
2023/10/1, 32, 13, 10, 5, , 
2023/10/2, 43, 14, 10, 5, , 
2023/10/3, 38, 6, 17, 3, , 
2023/10/4, 24, 9, 21, 4, , 
2023/10/5, 37, 10, 19, 4, , 
2023/10/6, 40, 7, 28, 2, , 
2023/10/7, 24, 5, 25, 2, , 
2023/10/8, 15, 14, 17, 8, , 
2023/10/9, 45, 23, 22, 8, , 
2023/10/10, 74, 18, 22, 7, , 
2023/10/11, 61, 12, 22, 5, , 
2023/10/12, 42, 14, 15, 7, , 
2023/10/13, 52, 14, 24, 4, , 
2023/10/14, 45, 6, 21, 2, , 
2023/10/15, 25, 8, 21, 3, , 
2023/10/16, 28, 15, 19, 8, , 
2023/10/17, 54, 25, 21, 11, , 
2023/10/18, 79, 31, 24, 7, , 
2023/10/19, 96, 7, 11, 1, , 
2023/10/20, 32, 23, 9, 2, , 
2023/10/21, 71, 15, 14, 3, , 
2023/10/22, 53, 20, 15, 5, , 
2023/10/23, 69, 27, 15, 4, , 
2023/10/24, 87, 13, 11, 3, , 
2023/10/25, 51, 15, 6, 7, , 
2023/10/26, 59, 11, 4, 4, , 
2023/10/27, 47, 10, 7, 3, , 
2023/10/28, 39, 15, 15, 4, , 
2023/10/29, 52, 18, 18, 7, , 
2023/10/30, 55, 10, 20, 6, , 
2023/10/31, 38, 12, 21, 2, , 
2023/11/1, 40, 14, , 5, , 
2023/11/2, 49, 9, 22, 2, , 
2023/11/3, 34, 11, 21, 4, , 
2023/11/4, 36, 21, 10, 6, , 
2023/11/5, 72, 5, 20, 3, , 
2023/11/6, 20, 10, 17, 7, , 
2023/11/7, 36, 15, 15, 7, , 
2023/11/8, 55, 12, 14, 7, , 
2023/11/9, 50, 15, 14, 9, , 
2023/11/10, 54, 25, 10, 7, , 
2023/11/11, 82, 22, 16, 3, , 
2023/11/12, 76, 19, 13, 8, , 
2023/11/13, 68, 14, 19, 6, , 
2023/11/14, 53, 8, 19, 3, , 
2023/11/15, 32, 19, 10, 9, , 
2023/11/16, 68, 15, 12, 2, , 
2023/11/17, 58, 17, 9, 4, , 
2023/11/18, 62, 21, 6, 5, , 
2023/11/19, 73, 14, 11, 4, , 
2023/11/20, 57, 19, 18, 2, , 
2023/11/21, 67, 18, 17, 7, , 
2023/11/22, 60, 16, 29, 4, , 
2023/11/23, 57, 6, 28, 3, , 
2023/11/24, 24, 9, 21, 2, , 
2023/11/25, 38, 9, 21, 1, , 
2023/11/26, 39, 19, 17, 6, , 
2023/11/27, 66, 32, 11, 6, , 
2023/11/28, 100, 22, 13, 6, , 
2023/11/29, 74, 40, 7, 13, , 
2023/11/30, 115, 38, 8, 11, , 
2023/12/1, 113, 33, 8, 6, , 
2023/12/2, 102, 20, 15, 4, , 
2023/12/3, 72, 28, 13, 9, , 
2023/12/4, 87, 47, 13, 10, , 
2023/12/5, 136, 31, 15, 4, , 
2023/12/6, 96, 29, 12, 5, , 
2023/12/7, 91, 30, 12, 6, , 
2023/12/8, 94, 33, 10, 8, , 
2023/12/9, 101, 30, 11, 7, , 
2023/12/10, 95, 19, 11, 9, , 
2023/12/11, 69, 21, 8, 10, , 
2023/12/12, 73, 32, 8, 7, , 
2023/12/13, 99, 17, 7, 5, , 
2023/12/14, 65, 17, 10, 6, , 
2023/12/15, 64, 18, 16, 4, , 
2023/12/16, 66, 17, 16, 2, , 
2023/12/17, 63, 17, 16, 3, , 
2023/12/18, 64, 15, 14, 6, , 
2023/12/19, 58, 9, 25, 5, , 
2023/12/20, 41, 5, 22, 3, , 
2023/12/21, 24, 6, 28, 1, , 
2023/12/22, 22, 6, 27, 1, , 
2023/12/23, 23, 10, 23, 2, , 
2023/12/24, 44, 4, 27, , , 
2023/12/25, 17, 5, 26, 1, , 
2023/12/26, 21, 9, 26, 2, , 
2023/12/27, 32, 20, 11, 9, , 
2023/12/28, 69, 19, 11, 6, , 
2023/12/29, 67, , , , , 
2023/7/1, 47, 14, 35, 3, , 
2023/7/2, 38, 17, 40, 5, , 
2023/7/3, 42, 20, 43, 6, , 
2023/7/4, 48, 22, 50, 5, , 
2023/7/5, 55, 13, 38, 4, , 
2023/7/6, 35, 12, 43, 8, , 
2023/7/7, 32, 16, 51, 7, , 
2023/7/8, 41, 8, 37, 2, , 
2023/7/9, 24, 10, 36, 5, , 
2023/7/10, 25, 7, 37, 3, , 
2023/7/11, 22, 17, 50, 6, , 
2023/7/12, 48, 16, 28, 7, , 
2023/7/13, 54, 13, 43, 5, , 
2023/7/14, 34, 13, 58, 6, , 
2023/7/15, 33, 16, 50, 4, , 
2023/7/16, 42, 14, 42, 5, , 
2023/7/17, 34, 8, 35, 4, , 
2023/7/18, 24, 9, 43, 5, , 
2023/7/19, 20, 7, 26, 6, , 
2023/7/20, 25, 8, 36, 5, , 
2023/7/21, 21, 11, 39, 5, , 
2023/7/22, 34, 12, 39, 4, , 
2023/7/23, 32, 12, 39, 5, , 
2023/7/24, 28, 11, 38, 4, , 
2023/7/25, 27, 10, 27, 4, , 
2023/7/26, 28, 7, 34, 4, , 
2023/7/27, 22, 8, 14, 7, , 
2023/7/28, 30, 8, 48, 3, , 
2023/7/29, 30, 8, 34, 2, , 
2023/7/30, 27, 8, 30, 5, , 
2023/7/31, 23, 9, 28, 6, , 
2023/8/1, 27, 8, 36, 4, , 
2023/8/2, 22, 8, 30, 5, , 
2023/8/3, 20, 8, 34, 4, , 
2023/8/4, 14, 12, 25, 6, , 
2023/8/5, 40, 15, 33, 1, , 
2023/8/6, 41, 4, 31, 2, , 
2023/8/7, 10, 6, 26, 3, , 
2023/8/8, 15, 6, 28, 5, , 
2023/8/9, 21, 12, 34, 5, , 
2023/8/10, 38, 11, 39, 8, , 
2023/8/11, 30, 15, 45, 6, , 
2023/8/12, 37, 17, 37, 6, , 
2023/8/13, 46, 16, 42, 4, , 
2023/8/14, 47, 17, 45, 4, , 
2023/8/15, 45, 26, 67, 7, , 
2023/8/16, 54, 27, 46, 9, , 
2023/8/17, 53, 13, 38, 5, , 
2023/8/18, 42, 19, 40, 5, , 
2023/8/19, 59, 22, 51, 5, , 
2023/8/20, 66, 18, 38, 8, , 
2023/8/21, 50, 11, 36, 6, , 
2023/8/22, 25, 9, 37, 6, , 
2023/8/23, 24, 12, 41, 8, , 
2023/8/24, 30, 19, 32, 8, , 
2023/8/25, 55, 14, 39, 5, , 
2023/8/26, 46, 12, 44, 4, , 
2023/8/27, 45, 10, 30, 5, , 
2023/8/28, 35, 12, 26, 4, , 
2023/8/29, 40, 14, 12, 6, , 
2023/8/30, 51, 8, 25, 4, , 
2023/8/31, 27, 7, 31, 5, , 
2023/9/1, 23, 12, 38, 8, , 
2023/9/2, 39, 12, 33, 7, , 
2023/9/3, 40, 10, 32, 6, , 
2023/9/4, 33, 13, 36, 7, , 
2023/9/5, 39, 15, 43, 10, , 
2023/9/6, 42, 16, 35, 6, , 
2023/9/7, 48, 21, 47, 10, , 
2023/9/8, 55, 29, 43, 8, , 
2023/9/9, 76, 28, 48, 5, , 
2023/9/10, 71, 24, 50, 9, , 
2023/9/11, 61, 31, 70, 12, , 
2023/9/12, 77, 34, 62, 11, , 
2023/9/13, 76, 8, 25, 5, , 
2023/9/14, 28, 6, 28, 4, , 
2023/9/15, 16, 10, 32, 2, , 
2023/9/16, 28, 11, 35, 2, , 
2023/9/17, 42, 14, 38, 5, , 
2023/9/18, 47, 14, 18, 7, , 
2023/9/19, 50, 10, 31, 6, , 
2023/9/20, 36, , 34, 7, , 
2023/9/22, 49, 11, 20, 5, , 
