date, pm25, pm10, o3, no2, so2, co
2024/5/1, 31, 20, 44, 2, , 
2024/5/2, 24, 16, 45, 3, , 
2024/5/3, 28, 19, 50, 2, , 
2024/5/4, 35, 20, 46, 3, 1, 
2024/5/5, 39, 14, 35, 5, , 
2024/5/6, 34, 13, 30, 3, , 
2024/5/7, 28, 18, 40, 3, , 
2024/5/8, 37, 17, 41, 4, , 
2024/5/9, 28, 23, 38, 7, , 
2024/5/10, 40, 12, 34, 2, , 
2024/5/11, 31, 14, 38, 2, , 
2024/5/12, 31, 18, 43, 5, , 
2024/5/13, 28, 19, 41, 3, , 
2024/5/14, 26, 18, 41, 1, , 
2024/5/15, 22, 22, 41, 1, , 
2024/5/16, 30, 30, 41, 1, , 
2024/5/17, 32, 19, 39, 3, 1, 
2024/5/18, 39, 14, 36, 3, , 
2024/5/19, 43, 13, 42, 3, , 
2024/5/20, 39, 14, 49, 4, , 
2024/5/21, 39, 13, 39, 3, , 
2024/5/22, 37, , , , , 
2024/4/1, 89, 12, 32, 2, , 
2024/4/2, 34, 11, 29, 3, , 
2024/4/3, 35, 14, 29, 5, 1, 
2024/4/4, 42, 13, 32, 4, , 
2024/4/5, 39, 18, 32, 5, 1, 
2024/4/6, 47, 17, 37, 4, 1, 
2024/4/7, 48, 17, 40, 5, , 
2024/4/8, 35, 22, 41, 6, 1, 
2024/4/9, 35, 18, 27, 3, , 
2024/4/10, 36, 18, 36, 6, , 
2024/4/11, 37, 29, 23, 9, 1, 
2024/4/12, 59, 25, 34, 5, , 
2024/4/13, 52, 19, 34, 2, , 
2024/4/14, 41, 17, 34, 6, 1, 
2024/4/15, 43, 16, 32, 3, , 
2024/4/16, 44, 23, 24, 7, 1, 
2024/4/17, 70, 27, 30, 6, 1, 
2024/4/18, 76, 23, 31, 5, 1, 
2024/4/19, 67, 15, 31, 3, 1, 
2024/4/20, 53, 11, 32, 1, 1, 
2024/4/21, 40, 22, 29, 5, 2, 
2024/4/22, 64, 23, 32, 5, 2, 
2024/4/23, 68, 30, 31, 6, 1, 
2024/4/24, 82, 27, 36, 6, 1, 
2024/4/25, 78, 18, 37, 7, 1, 
2024/4/26, 51, 15, 43, 5, 2, 
2024/4/27, 42, 18, 42, 2, 1, 
2024/4/28, 44, 20, 45, 4, 1, 
2024/4/29, 38, 24, 46, 4, 1, 
2024/4/30, 37, 20, 46, 2, , 
2024/1/7, 65, 30, 15, 5, 1, 
2024/1/8, 92, 82, 7, 21, 9, 
2024/1/9, 174, 79, 13, 18, 14, 
2024/1/10, 170, 60, 13, 10, 5, 
2024/1/11, 150, 41, 17, 8, 4, 
2024/1/12, 113, 28, 19, 4, 3, 
2024/1/13, 85, 22, 23, 3, 2, 
2024/1/14, 71, 21, 26, 5, 3, 
2024/1/15, 69, 31, 28, 8, 4, 
2024/1/16, 88, 33, 21, 10, 4, 
2024/1/17, 96, 51, 15, 9, 6, 
2024/1/18, 135, 39, 21, 8, 4, 
2024/1/19, 108, 29, 23, 4, 3, 
2024/1/20, 84, 41, 23, 7, 5, 
2024/1/21, 112, 24, 27, 5, 3, 
2024/1/22, 70, 29, 23, 6, 3, 
2024/1/23, 83, 20, 29, 4, 2, 
2024/1/24, 63, 20, 32, 3, 2, 
2024/1/25, 62, 28, 21, 8, 2, 
2024/1/26, 79, 26, 30, 3, 2, 
2024/1/27, 74, 40, 21, 7, 4, 
2024/1/28, 107, 32, 15, 11, 3, 
2024/1/29, 90, 31, 22, 7, 3, 
2024/1/30, 84, 33, 25, 7, 3, 
2024/1/31, 91, 27, 26, 5, 2, 
2024/2/1, 78, 30, 25, 4, 2, 
2024/2/2, 78, 17, 22, 2, 1, 
2024/2/3, 56, 16, 29, 2, 1, 
2024/2/4, 50, 16, 28, 3, 1, 
2024/2/5, 50, 21, 22, 3, 1, 
2024/2/6, 59, 16, 30, 4, 1, 
2024/2/7, 50, 28, 19, 10, 2, 
2024/2/8, 77, 21, 23, 6, 1, 
2024/2/9, 68, 40, 13, 9, 2, 
2024/2/10, 111, 30, 18, 4, 1, 
2024/2/11, 84, 22, 21, 5, 1, 
2024/2/12, 69, 26, 20, 6, 2, 
2024/2/13, 72, 32, 23, 10, 3, 
2024/2/14, 83, 36, 16, 10, 3, 
2024/2/15, 90, 31, 23, 9, 2, 
2024/2/16, 79, 19, 22, 4, 1, 
2024/2/17, 63, 16, 26, 3, 1, 
2024/2/18, 53, 20, 23, 7, 1, 
2024/2/19, 66, 21, 22, 5, 2, 
2024/2/20, 65, 31, 19, 7, 2, 
2024/2/21, 85, 20, 22, 8, 2, 
2024/2/22, 60, 26, 24, 10, 2, 
2024/2/23, 76, 21, 29, 5, 1, 
2024/2/24, 69, 23, 28, 5, 2, 
2024/2/25, 68, 23, 29, 7, 1, 
2024/2/26, 64, 42, 22, 12, 3, 
2024/2/27, 104, 51, 5, 11, 2, 
2024/2/28, 139, 25, 16, 4, , 
2024/2/29, 76, 50, 17, 4, 1, 
2024/3/1, 131, 38, 12, 4, 1, 
2024/3/2, 101, 38, 27, 3, 2, 
2024/3/3, 98, 41, 19, 4, , 
2024/3/4, 103, 32, 12, 6, 1, 
2024/3/5, 91, 35, 24, 6, 1, 
2024/3/6, 94, 33, 26, 7, 1, 
2024/3/7, 87, 56, 31, 13, 2, 
2024/3/8, 125, 41, 32, 7, 4, 
2024/3/9, 108, 24, 31, 2, 1, 
