date, pm10, no2, co
2016/4/1, 19, 20, 5
2016/4/2, 337, 14, 4
2016/4/4, 47, 21, 6
2016/4/5, 49, 19, 6
2016/4/6, 44, 17, 5
2016/4/7, 38, 30, 6
2016/4/8, 36, 20, 5
2016/4/9, 26, 15, 5
2016/4/10, 24, 24, 5
2016/4/11, 32, 20, 5
2016/4/12, 47, 11, 5
2016/4/13, 51, 26, 7
2016/4/14, 56, 8, 3
2016/4/15, 28, 14, 5
2016/4/16, 24, 10, 5
2016/4/17, 27, 6, 3
2016/4/18, 14, 6, 3
2016/4/19, 22, 6, 2
2016/4/20, 21, 5, 3
2016/4/21, 22, 9, 3
2016/4/22, 32, 18, 6
2016/4/23, 43, 5, 3
2016/4/24, 11, 8, 3
2016/4/25, 19, 17, 5
2016/4/26, 39, 7, 4
2016/4/27, 11, 9, 4
2016/4/28, 20, 24, 5
2016/4/29, 53, 16, 5
2016/4/30, 23, 15, 5
2016/5/1, 27, 18, 6
2016/5/2, 26, 14, 5
2016/5/3, 17, 20, 6
2016/5/4, 22, 21, 5
2016/5/5, 22, 30, 6
2016/5/6, 30, 19, 5
2016/5/7, 25, 11, 5
2016/5/8, 16, 15, 5
2016/5/9, 16, 17, 5
2016/5/10, 20, 27, 5
2016/5/11, 29, 24, 5
2016/5/12, 27, 19, 5
2016/5/13, 24, 12, 5
2016/5/14, 21, 2, 3
2016/5/15, 11, 4, 3
2016/5/16, 9, 6, 3
2016/5/17, 12, 9, 4
2016/5/18, 15, 20, 5
2016/5/19, 27, 21, 5
2016/5/20, 32, 12, 4
2016/5/21, 21, 18, 6
2016/5/22, 27, 15, 4
2016/5/23, 25, 17, 4
2016/5/24, 27, 27, 5
2016/5/25, 35, 6, 4
2016/5/26, 29, 14, 5
2016/5/27, 27, 15, 5
2016/5/28, 30, , 
2016/1/4, 52, 19, 7
2016/1/5, 77, 15, 8
2016/1/6, 77, 18, 7
2016/1/7, 62, 14, 4
2016/1/8, 43, 13, 4
2016/1/9, 29, 17, 5
2016/1/10, 48, 20, 10
2016/1/11, 49, 20, 8
2016/1/12, 51, 11, 3
2016/1/13, 23, 10, 2
2016/1/14, 21, 24, 7
2016/1/15, 58, 15, 3
2016/1/16, 31, 17, 3
2016/1/17, 46, 12, 3
2016/1/18, 48, 19, 7
2016/1/19, 75, 18, 6
2016/1/20, 62, 13, 3
2016/1/21, 25, 16, 6
2016/1/22, 42, 29, 10
2016/1/23, 80, 11, 6
2016/1/24, 52, 11, 6
2016/1/25, 32, 13, 7
2016/1/26, 33, 9, 4
2016/1/27, 22, 8, 3
2016/1/28, 13, 11, 4
2016/1/29, 113, 4, 3
2016/1/30, 14, 2, 2
2016/1/31, 11, 6, 3
2016/2/1, 13, 4, 3
2016/2/2, 8, 3, 2
2016/2/3, 11, 4, 2
2016/2/4, 12, 8, 3
2016/2/5, 17, 13, 5
2016/2/6, 35, 13, 5
2016/2/7, 32, 8, 3
2016/2/8, 18, 10, 3
2016/2/9, 17, 14, 4
2016/2/10, 16, 5, 3
2016/2/11, 22, , 
2016/2/15, 57, 17, 5
2016/2/16, 31, 13, 4
2016/2/17, 24, 18, 8
2016/2/18, 42, 13, 6
2016/2/19, 24, 7, 4
2016/2/20, 35, 3, 3
2016/2/21, 7, 5, 3
2016/2/22, 6, 5, 3
2016/2/23, 13, 6, 3
2016/2/24, 16, 13, 4
2016/2/25, 31, 14, 5
2016/2/26, 47, 18, 5
2016/2/27, 48, 19, 6
2016/2/28, 57, 22, 6
2016/2/29, 46, 20, 5
2016/3/1, 20, 13, 4
2016/3/2, 37, 24, 8
2016/3/3, 50, 21, 6
2016/3/4, 46, 14, 6
2016/3/5, 42, 10, 5
2016/3/6, 28, 25, 8
2016/3/7, 55, 25, 6
2016/3/8, 58, 21, 5
2016/3/9, 44, 20, 6
2016/3/10, 38, 15, 6
2016/3/11, 29, 12, 6
2016/3/12, 31, 15, 5
2016/3/13, 25, 21, 6
2016/3/14, 50, 21, 5
2016/3/15, 23, 22, 5
2016/3/16, 39, 17, 6
2016/3/17, 56, 11, 4
2016/3/18, 42, 6, 2
2016/3/19, 13, 4, 3
2016/3/20, 22, 5, 3
2016/3/21, 20, 8, 3
2016/3/22, 13, 19, 4
2016/3/23, 32, 26, 6
2016/3/24, 45, 16, 6
2016/3/25, 56, 14, 5
2016/3/26, 39, 10, 5
2016/3/27, 33, 10, 4
2016/3/28, 31, 11, 3
2016/3/29, 25, 7, 3
2016/3/30, 11, 15, 4
2016/3/31, 22, 16, 4
2015/10/1, 41, 29, 12
2015/10/2, 50, 28, 9
2015/10/3, 48, 18, 5
2015/10/4, 30, 23, 8
2015/10/5, 36, 17, 4
2015/10/6, 31, 8, 3
2015/10/7, 27, 10, 3
2015/10/8, 27, 12, 4
2015/10/9, 38, 12, 4
2015/10/10, 37, 9, 4
2015/10/11, 35, 9, 4
2015/10/12, 22, 15, 7
2015/10/13, 35, 10, 6
2015/10/14, 44, 11, 5
2015/10/15, 39, 14, 6
2015/10/16, 38, 13, 8
2015/10/17, 37, 9, 6
2015/10/18, 21, 15, 9
2015/10/19, 33, 16, 8
2015/10/20, 33, 13, 6
2015/10/21, 34, 14, 5
2015/10/22, 21, 11, 4
2015/10/23, 19, 13, 5
2015/10/24, 34, 11, 5
2015/10/25, 32, 18, 10
2015/10/26, 39, 24, 12
2015/10/27, 53, 15, 5
2015/10/28, 31, 10, 4
2015/10/29, 24, , 
2015/11/2, 50, 27, 10
2015/11/3, 63, 21, 8
2015/11/4, 65, 18, 7
2015/11/5, 43, 17, 9
2015/11/6, 57, 14, 10
2015/11/7, 47, 4, 3
2015/11/8, 5, 12, 4
2015/11/9, 21, 4, 2
2015/11/10, 9, 3, 3
2015/11/11, 6, 6, 3
2015/11/12, 13, 13, 4
2015/11/13, 25, , 
2015/11/14, 12, , 
2015/11/15, 10, , 
2015/11/16, 20, , 
2015/11/17, 16, , 
2015/11/18, 6, , 
2015/11/19, 10, 10, 2
2015/11/20, 8, 7, 2
2015/11/21, 16, 6, 2
2015/11/22, 20, 14, 4
2015/11/23, 32, 12, 4
2015/11/24, 28, 22, 7
2015/11/25, 41, 23, 10
2015/11/26, 58, 20, 8
2015/11/27, 54, 13, 6
2015/11/28, 41, 5, 2
2015/11/29, 6, 5, 2
2015/11/30, 9, 8, 6
2015/12/1, 7, 9, 5
2015/12/3, 105, 11, 5
2015/12/4, 37, 5, 3
2015/12/5, 18, 4, 3
2015/12/6, 14, 8, 4
2015/12/7, 24, 16, 8
2015/12/8, 56, 12, 5
2015/12/9, 38, 11, 4
2015/12/10, 33, 13, 5
2015/12/11, 34, 5, 4
2015/12/12, 14, 5, 4
2015/12/13, 11, 15, 5
2015/12/14, 24, 23, 10
2015/12/15, 64, 19, 9
2015/12/16, 56, 12, 5
2015/12/17, 29, 10, 5
2015/12/18, 22, 9, 5
2015/12/19, 28, 10, 5
2015/12/20, 27, 8, 5
2015/12/21, 18, 5, 4
2015/12/22, 12, 5, 3
2015/12/23, 11, 14, 6
2015/12/24, 33, 8, 4
2015/12/25, 23, 3, 3
2015/12/26, 11, 4, 3
2015/12/27, 12, 11, 3
2015/12/28, 20, 17, 4
2015/12/29, 26, 16, 3
2015/12/30, 36, , 
2016/1/1, 59, 9, 2
2016/1/2, 25, 10, 3
2016/1/3, 37, 15, 4
2015/7/1, 19, 11, 3
2015/7/2, 23, 21, 4
2015/7/3, 28, 16, 4
2015/7/4, 24, 15, 4
2015/7/5, 30, 14, 4
2015/7/6, 30, 15, 3
2015/7/7, 22, 12, 4
2015/7/8, 24, 8, 2
2015/7/9, 16, 5, 2
2015/7/10, 12, 7, 2
2015/7/11, 13, 12, 4
2015/7/12, 20, 7, 3
2015/7/13, 12, 8, 3
2015/7/14, 16, 9, 3
2015/7/15, 16, 12, 4
2015/7/16, 19, 18, 4
2015/7/17, 28, 13, 4
2015/7/18, 30, 9, 4
2015/7/19, 27, 6, 3
2015/7/20, 13, 18, 4
2015/7/21, 31, 12, 4
2015/7/22, 20, 13, 4
2015/7/23, 25, 13, 4
2015/7/24, 21, 10, 4
2015/7/25, 30, 5, 2
2015/7/26, 9, 16, 4
2015/7/27, 20, 8, 3
2015/7/28, 10, 12, 3
2015/7/29, 16, 7, 2
2015/7/30, 12, 10, 3
2015/7/31, 15, 14, 4
2015/8/1, 24, 9, 3
2015/8/2, 24, 17, 4
2015/8/3, 33, 23, 5
2015/8/4, 40, 14, 4
2015/8/5, 44, 10, 3
2015/8/6, 24, 20, 4
2015/8/7, 39, 14, 4
2015/8/8, 39, 8, 3
2015/8/9, 35, 7, 3
2015/8/10, 17, 12, 3
2015/8/11, 41, 20, 4
2015/8/12, 36, 8, 3
2015/8/13, 29, 10, 3
2015/8/14, 25, 7, 3
2015/8/15, 37, 9, 3
2015/8/16, 19, 9, 3
2015/8/17, 34, 5, 3
2015/8/18, 29, 7, 3
2015/8/19, 32, 8, 3
2015/8/20, 31, 10, 3
2015/8/21, 36, 11, 3
2015/8/22, 29, 11, 3
2015/8/23, 19, 16, 4
2015/8/24, 35, 11, 3
2015/8/25, 22, 13, 3
2015/8/26, 13, 20, 4
2015/8/27, 25, 12, 3
2015/8/28, 31, 10, 3
2015/8/29, 13, 13, 6
2015/8/30, 22, 25, 6
2015/8/31, 31, 23, 5
2015/9/1, 39, 14, 3
2015/9/2, 25, 18, 3
2015/9/3, 25, 18, 4
2015/9/4, 21, 11, 3
2015/9/5, 12, 5, 1
2015/9/6, 10, 5, 1
2015/9/7, 6, 8, 2
2015/9/8, 10, 11, 3
2015/9/9, 13, 13, 3
2015/9/10, 16, 8, 2
2015/9/11, 17, 8, 3
2015/9/12, 22, 7, 3
2015/9/13, 17, 11, 3
2015/9/14, 23, 14, 3
2015/9/15, 28, 17, 4
2015/9/16, 25, 20, 5
2015/9/17, 33, 11, 2
2015/9/18, 16, 17, 3
2015/9/19, 20, 13, 3
2015/9/20, 15, 11, 3
2015/9/21, 11, 21, 5
2015/9/22, 27, 26, 7
2015/9/23, 35, 20, 6
2015/9/24, 29, 16, 4
2015/9/25, 18, 10, 3
2015/9/26, 12, 11, 3
2015/9/27, 13, 13, 4
2015/9/28, 15, 9, 3
2015/9/29, 11, 18, 5
2015/9/30, 26, 24, 11
2015/4/1, 8, 13, 4
2015/4/2, 19, 8, 3
2015/4/3, 13, 7, 3
2015/4/4, 13, 6, 3
2015/4/5, 12, 5, 3
2015/4/6, 14, 10, 3
2015/4/7, 19, 10, 3
2015/4/8, 18, 17, 5
2015/4/9, 24, 23, 8
2015/4/10, 47, 26, 9
2015/4/11, 56, 9, 3
2015/4/12, 21, 10, 3
2015/4/13, 35, 7, 2
2015/4/14, 17, 8, 3
2015/4/15, 19, 10, 2
2015/4/16, 16, 12, 3
2015/4/17, 21, 7, 2
2015/4/18, 11, 7, 3
2015/4/19, 14, 7, 2
2015/4/20, 42, 8, 3
2015/4/21, 21, 13, 4
2015/4/22, 23, 15, 5
2015/4/23, 37, 15, 4
2015/4/24, 31, 22, 7
2015/4/25, 42, 13, 4
2015/4/26, 25, 19, 5
2015/4/27, 31, 14, 4
2015/4/28, 26, 9, 3
2015/4/29, 16, 21, 6
2015/4/30, 32, 11, 4
2015/5/1, 22, 10, 4
2015/5/2, 18, 12, 4
2015/5/3, 21, 13, 5
2015/5/4, 30, 17, 6
2015/5/5, 35, 12, 4
2015/5/6, 17, 10, 4
2015/5/7, 18, 12, 3
2015/5/8, 14, 15, 4
2015/5/9, 21, 9, 3
2015/5/10, 18, 7, 2
2015/5/11, 10, 14, 4
2015/5/12, 26, 8, 2
2015/5/13, 15, 13, 3
2015/5/14, 24, 9, 3
2015/5/15, 16, 11, 3
2015/5/16, 21, 5, 2
2015/5/17, 15, 11, 3
2015/5/18, 22, 16, 4
2015/5/19, 27, 18, 4
2015/5/20, 28, 7, 2
2015/5/21, 18, 8, 2
2015/5/22, 18, 14, 4
2015/5/23, 17, 11, 3
2015/5/24, 22, 13, 4
2015/5/25, 29, 10, 3
2015/5/26, 17, 7, 2
2015/5/27, 12, 9, 2
2015/5/28, 14, 14, 3
2015/5/29, 25, 10, 3
2015/5/30, 19, 8, 2
2015/5/31, 12, 13, 3
2015/6/1, 22, 11, 3
2015/6/2, 20, 10, 2
2015/6/3, 22, 4, 1
2015/6/4, 15, 15, 3
2015/6/5, 26, 10, 3
2015/6/6, 27, 8, 2
2015/6/7, 27, 7, 2
2015/6/8, 24, 6, 2
2015/6/9, 21, 7, 2
2015/6/10, 15, 13, 3
2015/6/11, 26, 21, 4
2015/6/12, 40, 12, 3
2015/6/13, 23, 6, 2
2015/6/14, 21, , 3
2015/6/15, 18, 9, 2
2015/6/16, 14, 9, 3
2015/6/17, 19, 13, 4
2015/6/18, 20, 9, 3
2015/6/19, 11, 9, 3
2015/6/20, 13, 6, 3
2015/6/21, 10, 13, 4
2015/6/22, 18, 11, 3
2015/6/23, 12, 8, 3
2015/6/24, 15, 10, 3
2015/6/25, 15, 19, 4
2015/6/26, 25, 15, 4
2015/6/27, 24, 14, 4
2015/6/28, 23, 9, 3
2015/6/29, 17, 19, 5
2015/6/30, 25, 11, 4
2015/1/1, 28, 9, 6
2015/1/2, 19, 5, 5
2015/1/3, 16, 6, 5
2015/1/4, 11, 12, 5
2015/1/5, 17, 8, 6
2015/1/6, 26, 23, 12
2015/1/7, 50, 18, 10
2015/1/8, 38, 10, 4
2015/1/9, 14, 9, 5
2015/1/10, 17, 4, 3
2015/1/11, 16, 9, 5
2015/1/12, 18, 12, 5
2015/1/13, 18, 17, 7
2015/1/14, 28, 18, 7
2015/1/15, 30, 22, 9
2015/1/16, 41, 15, 8
2015/1/17, 37, 16, 9
2015/1/18, 42, 14, 8
2015/1/19, 35, 13, 9
2015/1/20, 32, 14, 9
2015/1/21, 49, 14, 6
2015/1/22, 36, 12, 6
2015/1/23, 21, 9, 5
2015/1/24, 31, 10, 5
2015/1/25, 27, 18, 6
2015/1/26, 31, 19, 7
2015/1/27, 32, 15, 6
2015/1/28, 21, 18, 6
2015/1/29, 22, 20, 9
2015/1/30, 38, 11, 6
2015/1/31, 20, 15, 8
2015/2/1, 31, 23, 12
2015/2/2, 53, 22, 10
2015/2/3, 47, 20, 9
2015/2/4, 41, 13, 7
2015/2/5, 41, 14, 7
2015/2/6, 34, 10, 7
2015/2/7, 31, 8, 5
2015/2/8, 9, 14, 6
2015/2/9, 18, 14, 6
2015/2/10, 21, 17, 7
2015/2/11, 29, 23, 10
2015/2/12, 46, 28, 11
2015/2/13, 52, 29, 12
2015/2/14, 63, 18, 12
2015/2/15, 60, 13, 6
2015/2/16, 33, 17, 7
2015/2/17, 40, 16, 9
2015/2/18, 46, 16, 10
2015/2/19, 40, 23, 11
2015/2/20, 56, 24, 9
2015/2/21, 51, 24, 10
2015/2/22, 57, 25, 10
2015/2/23, 50, 19, 9
2015/2/24, 32, 26, 17
2015/2/25, 61, 15, 6
2015/2/26, 33, 19, 8
2015/2/27, 46, 17, 8
2015/2/28, 47, 16, 7
2015/3/1, 37, 12, 4
2015/3/2, 15, 13, 4
2015/3/3, 21, 13, 5
2015/3/4, 24, 16, 5
2015/3/5, 24, 20, 6
2015/3/6, 32, 17, 6
2015/3/7, 34, 18, 5
2015/3/8, 38, 23, 10
2015/3/9, 48, 33, 18
2015/3/10, 83, 16, 6
2015/3/11, 32, 9, 3
2015/3/12, 21, 8, 3
2015/3/13, 14, 7, 3
2015/3/14, 22, 8, 4
2015/3/15, 27, 11, 4
2015/3/16, 38, 13, 6
2015/3/17, 35, 17, 6
2015/3/18, 39, 30, 11
2015/3/19, 64, 28, 10
2015/3/20, 56, 16, 6
2015/3/21, 49, , 
2015/3/23, 41, 22, 7
2015/3/24, 58, 23, 7
2015/3/25, 60, 21, 7
2015/3/26, 49, 15, 6
2015/3/27, 31, 12, 4
2015/3/28, 21, 12, 5
2015/3/29, 28, 7, 2
2015/3/30, 10, 12, 3
2015/3/31, 14, 5, 2
2014/10/1, 23, 13, 6
2014/10/2, 27, 22, 9
2014/10/3, 43, 23, 8
