date, pm10, no2, co
2017/10/1, 45, 17, 5
2017/10/2, 47, 13, 4
2017/10/3, 42, 8, 3
2017/10/4, 21, 10, 3
2017/10/5, 19, 10, 3
2017/10/6, 16, 9, 3
2017/10/7, 20, 7, 3
2017/10/8, 16, 8, 3
2017/10/9, 16, 9, 3
2017/10/10, 22, 10, 4
2017/10/11, 29, 9, 4
2017/10/12, 23, 10, 4
2017/10/13, 22, 10, 5
2017/10/14, 44, 9, 7
2017/10/15, 47, 20, 9
2017/10/16, 47, 23, 10
2017/10/17, 52, 24, 8
2017/10/18, 59, 23, 9
2017/10/19, 81, 14, 7
2017/10/20, 72, 13, 7
2017/10/21, 58, 12, 7
2017/10/22, 57, 12, 6
2017/10/23, 44, 12, 6
2017/10/24, 38, 13, 6
2017/10/25, 41, 10, 5
2017/10/26, 25, 10, 5
2017/10/27, 26, 5, 4
2017/10/28, 16, 4, 3
2017/10/29, 15, 6, 3
2017/10/30, 15, 12, 5
2017/10/31, 22, 7, 4
2017/11/1, 34, 11, 5
2017/11/2, 25, 10, 5
2017/11/3, 24, 14, 6
2017/11/4, 32, 12, 6
2017/11/5, 39, 13, 7
2017/11/6, 48, 10, 5
2017/11/7, 44, 12, 4
2017/11/8, 39, 13, 5
2017/11/9, 56, 11, 5
2017/11/10, 52, 5, 3
2017/11/11, 19, 9, 4
2017/11/12, 22, 13, 5
2017/11/13, 39, 13, 4
2017/11/14, 30, 13, 5
2017/11/15, 44, 16, 8
2017/11/16, 65, 16, 7
2017/11/17, 62, 10, 4
2017/11/18, 42, 5, 4
2017/11/19, 23, 10, 5
2017/11/20, 23, 14, 7
2017/11/21, 45, 14, 10
2017/11/22, 61, 18, 10
2017/11/23, 57, 17, 39
2017/11/24, 109, 13, 67
2017/11/25, 54, 8, 67
2017/11/26, 32, 12, 66
2017/11/27, 47, , 
2017/7/1, 16, 4, 3
2017/7/2, 14, 7, 3
2017/7/3, 15, 9, 4
2017/7/4, 16, 10, 4
2017/7/5, 18, 12, 6
2017/7/6, 21, 20, 7
2017/7/7, 26, 8, 4
2017/7/8, 25, 7, 5
2017/7/9, 24, 13, 8
2017/7/10, 26, 8, 6
2017/7/11, 26, 10, 5
2017/7/12, 27, 6, 4
2017/7/13, 18, 9, 4
2017/7/14, 18, 8, 4
