date, pm25, pm10, o3, no2, so2, co
2024/5/1, 32, 29, 41, 2, 3, 
2024/5/2, 26, 20, 35, 2, 2, 
2024/5/3, 35, 15, 36, 3, 1, 
2024/5/4, 39, 19, 30, 4, 2, 
2024/5/5, 38, 14, 33, 4, 3, 
2024/5/6, 32, 15, 27, 3, 1, 
2024/5/7, 31, 25, 40, 3, , 
2024/5/8, 31, 28, 46, 5, , 
2024/5/9, 42, 23, 40, 5, , 
2024/5/10, 33, 26, 34, 6, , 
2024/5/11, 42, 15, 42, 1, , 
2024/5/12, 18, 21, 44, 2, 1, 
2024/5/13, 24, 29, 46, 3, 1, 
2024/5/14, 29, 31, 44, 3, 2, 
2024/5/15, 28, 34, 41, 2, 1, 
2024/5/16, 27, 25, 40, 3, 2, 
2024/5/17, 34, 14, 29, 2, 2, 
2024/5/18, 18, 11, 33, 3, 2, 
2024/5/19, 23, 11, 41, 3, 2, 
2024/5/20, 25, 21, 50, 3, 2, 
2024/5/21, 36, 17, 41, 2, 4, 
2024/5/22, 53, , , , , 
2024/4/1, 63, 14, 31, 4, 3, 
2024/4/2, 27, 12, 29, 6, 2, 
2024/4/3, 31, 6, 30, 4, 2, 
2024/4/4, 18, 16, 32, 6, 1, 
2024/4/5, 33, 10, 34, 5, , 
2024/4/8, 33, 30, 39, 5, 2, 
2024/4/9, 42, 8, 28, 3, , 
2024/4/10, 30, 17, 37, 5, 1, 
2024/4/11, 38, 20, 34, 6, , 
2024/4/12, 40, 24, 27, 6, , 
2024/4/13, 47, 11, 33, 3, 2, 
2024/4/14, 33, 9, 35, 3, , 
2024/4/15, 29, 19, 35, 2, 10, 
2024/4/16, 22, 15, 31, 2, 5, 
2024/4/17, 23, 16, 31, 3, 1, 
2024/4/18, 39, 15, 27, 3, 2, 
2024/4/19, 27, , 31, 3, 1, 
2024/4/20, 27, , 37, 3, , 
2024/4/21, 47, 22, 30, 3, 1, 
2024/4/22, 35, 29, 36, 6, 1, 
2024/4/23, 54, 23, 36, 5, 4, 
2024/4/24, 46, 14, 31, 4, 4, 
2024/4/25, 31, 20, 38, 7, 4, 
2024/4/26, 35, 20, 40, 6, 3, 
2024/4/27, 35, 15, 39, 4, 2, 
2024/4/28, 29, 18, 44, 3, 1, 
2024/4/29, 31, 28, 48, 4, 1, 
2024/4/30, 38, 25, 45, 2, 2, 
2024/1/7, 33, 23, 21, 4, 3, 
2024/1/8, 72, 44, 16, 10, 4, 
2024/1/9, 113, 66, 28, 18, 5, 
2024/1/10, 140, 38, 16, 10, 3, 
2024/1/11, 94, 8, 21, 4, 2, 
2024/1/12, 24, 10, 20, 7, 4, 
2024/1/13, 29, 10, 23, 6, 6, 
2024/1/14, 29, 13, 24, 9, 7, 
2024/1/15, 37, 8, 24, 5, 5, 
2024/1/16, 20, 21, 20, 11, 8, 
2024/1/17, 49, 22, 18, 8, 8, 
2024/1/18, 43, 22, 23, 12, 4, 
2024/1/19, 49, 27, 23, 15, 2, 
2024/1/20, 57, 11, 28, 6, 4, 
2024/1/21, 28, 10, 26, 5, 6, 
2024/1/22, 30, 13, 25, 9, 3, 
2024/1/23, 37, 6, 31, 2, 4, 
2024/1/24, 24, , 32, 1, 3, 
2024/1/25, 27, 6, 31, 5, 3, 
2024/1/26, 31, 12, 29, 3, 1, 
2024/1/27, 29, 16, 24, 6, 2, 
2024/1/28, 37, 14, 26, 7, 3, 
2024/1/29, 34, 14, 25, 5, 4, 
2024/1/30, 39, 11, 27, 7, 2, 
2024/1/31, 34, 10, 27, 5, 3, 
2024/2/1, 31, 14, 24, 7, 3, 
2024/2/2, 35, 5, 22, 3, 4, 
2024/2/3, 24, 4, 31, 1, 4, 
2024/2/4, 19, 8, 24, 2, 6, 
2024/2/5, 27, 16, 19, 9, 6, 
2024/2/6, 43, 10, 27, 6, 7, 
2024/2/7, 29, 11, 20, 7, 7, 
2024/2/8, 28, 7, 20, 5, 10, 
2024/2/9, 26, 9, 18, 4, 10, 
2024/2/10, 34, 14, 15, 5, 10, 
2024/2/11, 47, 10, 19, 6, 8, 
2024/2/12, 34, 9, 24, 5, 4, 
2024/2/13, 27, 11, 18, 6, 5, 
2024/2/14, 29, 8, 13, 5, 6, 
2024/2/15, 30, 12, 22, 6, 7, 
2024/2/16, 35, 7, 23, 3, 3, 
2024/2/17, 24, 9, 25, 3, 2, 
2024/2/18, 26, 5, 24, 3, 5, 
2024/2/19, 18, 9, 26, 3, 3, 
2024/2/20, 21, 13, 20, 6, 5, 
