date, pm10, no2, so2
2014/10/1, 39, 12, 2
2014/10/2, 23, 9, 3
2014/10/3, 26, 8, 3
2014/10/4, 33, , 
2014/10/6, 37, 8, 4
2014/10/7, 32, , 
2014/10/9, 28, 15, 4
2014/10/10, 40, 9, 3
2014/10/11, 31, 6, 2
2014/10/12, 31, 11, 3
2014/10/13, 38, 11, 2
2014/10/14, 30, 7, 2
2014/10/15, 25, 7, 3
2014/10/16, 17, 13, 3
2014/10/17, 24, 12, 6
2014/10/18, 33, 5, 4
2014/10/19, 17, 4, 3
2014/10/20, 11, 12, 5
2014/10/21, 43, 12, 6
2014/10/22, 32, 9, 3
2014/10/23, 14, 7, 2
2014/10/24, 24, 9, 7
2014/10/25, 50, 6, 8
2014/10/26, 67, 13, 10
2014/10/27, 62, 14, 12
2014/10/28, 73, 16, 15
2014/10/29, 71, 9, 10
2014/10/30, 51, 14, 19
2014/10/31, 78, 8, 14
2014/11/1, 84, , 
2014/11/3, 31, 5, 4
2014/11/4, 17, 4, 3
2014/11/5, 13, 13, 8
2014/11/6, 43, 13, 12
2014/11/7, 64, 11, 4
2014/11/8, 30, 10, 9
2014/11/9, 55, 13, 8
2014/11/10, 54, 10, 7
2014/11/11, 35, 22, 15
2014/11/12, 62, 12, 25
2014/11/13, 112, 12, 9
2014/11/14, 64, 14, 11
2014/11/15, 63, 11, 9
2014/11/16, 41, 9, 10
2014/11/17, 52, 10, 13
2014/11/18, 69, 11, 14
2014/11/19, 63, 6, 11
2014/11/20, 25, 8, 10
2014/11/21, 26, 13, 12
2014/11/22, 45, 10, 16
2014/11/23, 53, 9, 10
2014/11/24, 33, 10, 11
2014/11/25, 42, 15, 19
2014/11/26, 59, 14, 24
2014/11/27, 80, 12, 11
2014/11/28, 51, 6, 4
2014/11/29, 30, 10, 16
2014/11/30, 62, 10, 14
2014/12/1, 44, 10, 12
2014/12/2, 52, 10, 33
2014/12/3, 93, 17, 40
2014/12/4, 211, 17, 45
2014/12/5, 195, 11, 52
2014/12/6, 473, , 
2014/12/8, 59, 12, 15
2014/12/9, 41, 18, 20
2014/12/10, 64, 6, 4
2014/12/11, 18, 5, 6
2014/12/12, 11, 3, 12
2014/12/13, 13, 6, 8
2014/12/14, 24, 8, 7
2014/12/15, 20, 14, 9
2014/12/16, 26, 15, 9
2014/12/17, 32, 5, 3
2014/12/18, 11, 6, 2
2014/12/19, 7, , 
2014/9/16, 29, 11, 2
2014/9/17, 30, 10, 2
2014/9/18, 27, 12, 2
2014/9/19, 30, 12, 2
2014/9/20, 37, 10, 2
2014/9/21, 27, 8, 2
2014/9/22, 13, 8, 4
2014/9/23, 15, 10, 4
2014/9/24, 27, 10, 4
2014/9/25, 23, 12, 4
2014/9/26, 23, 11, 4
2014/9/27, 32, 8, 5
2014/9/28, 25, 9, 4
2014/9/29, 17, 15, 4
2014/9/30, 30, 14, 3
2014/10/5, , 11, 5
2014/10/8, , 12, 3
2014/11/2, , 12, 6
2014/12/7, , 13, 17
2014/9/15, , 9, 2
