Year,Małopolskie,Mazowieckie,Śląskie,Dolnośląskie,Wielkopolskie,Pomorskie,Zachodniopomorskie,Lubuskie,Łódzkie,Lubelskie,Podkarpackie,Świętokrzyskie,Podlaskie,Kujawsko-Pomorskie,Warmińsko-Mazurskie,Opolskie
2010,78,82,85,80,79,74,73,76,77,75,78,80,71,74,73,75
2011,80,81,83,78,77,73,72,75,76,74,77,79,70,73,72,74
2012,77,79,82,77,76,72,71,74,75,73,76,78,69,72,71,73
2013,75,77,80,75,74,71,70,73,74,72,75,77,68,71,70,72
2014,73,76,78,73,72,70,69,72,73,71,74,76,67,70,69,71
2015,70,74,76,71,70,69,68,71,72,70,73,75,66,69,68,70
2016,68,72,74,69,68,68,67,70,71,69,72,74,65,68,67,69
2017,66,70,72,67,66,67,66,69,70,68,71,73,64,67,66,68
2018,64,68,70,65,64,66,65,68,69,67,70,72,63,66,65,67
2019,62,66,68,63,62,65,64,67,68,66,69,71,62,65,64,66
2020,60,65,66,61,60,64,63,66,67,65,68,70,61,64,63,65
2021,58,63,64,59,58,63,62,65,66,64,67,69,60,63,62,64
2022,56,61,62,57,56,62,61,64,65,63,66,68,59,62,61,63
2023,54,59,60,55,54,61,60,63,64,62,65,67,58,61,60,62
