Year,Małopolskie,Mazowieckie,Śląskie,Dolnośląskie,Wielkopolskie,Pomorskie,Zachodniopomorskie,Lubuskie,Łódzkie,Lubelskie,Podkarpackie,Świętokrzyskie,Podlaskie,Kujawsko-Pomorskie,Warmińsko-Mazurskie,Opolskie
2010,5,10,15,8,7,4,3,4,6,5,4,3,2,4,3,4
2011,5,10,15,8,7,4,3,4,6,5,4,3,2,4,3,4
2012,5,11,15,8,8,4,4,4,7,6,5,3,2,5,4,4
2013,6,11,16,9,8,5,4,5,7,6,5,4,3,5,4,5
2014,6,12,16,9,9,5,4,5,7,6,5,4,3,5,4,5
2015,7,12,16,10,9,5,5,5,8,7,6,4,3,6,5,5
2016,7,13,17,10,10,6,5,6,8,7,6,5,4,6,5,6
2017,7,13,17,10,10,6,5,6,8,7,6,5,4,6,5,6
2018,8,13,18,11,10,6,6,6,9,8,7,5,4,7,6,6
2019,8,14,18,11,11,7,6,7,9,8,7,6,5,7,6,7
2020,9,14,18,11,11,7,6,7,9,8,7,6,5,7,6,7
2021,9,15,19,12,12,8,7,8,10,9,8,7,6,8,7,8
2022,9,15,19,12,12,8,7,8,10,9,8,7,6,8,7,8
2023,10,16,20,13,13,9,8,9,11,10,9,8,7,9,8,9
