city,date,no_of_cars
Jelenia Góra,2015,4210
Jelenia Góra,2016,4407
Jelenia Góra,2017,4335
Jelenia Góra,2018,4790
Jelenia Góra,2019,4917
Jelenia Góra,2020,5027
Jelenia Góra,2021,5058
Jelenia Góra,2022,5160
Biała Podlaska,2015,4749
Biała Podlaska,2016,4977
Biała Podlaska,2017,4943
Biała Podlaska,2018,5300
Biała Podlaska,2019,5256
Biała Podlaska,2020,5278
Biała Podlaska,2021,5232
Biała Podlaska,2022,5196
Białystok,2015,21096
Białystok,2016,22137
Białystok,2017,21715
Białystok,2018,23672
Białystok,2019,23906
Białystok,2020,24172
Białystok,2021,24539
Białystok,2022,25003
Bielsko-Biała,2015,8645
Bielsko-Biała,2016,9100
Bielsko-Biała,2017,9138
Bielsko-Biała,2018,9881
Bielsko-Biała,2019,10025
Bielsko-Biała,2020,10351
Bielsko-Biała,2021,10398
Bielsko-Biała,2022,10520
Bydgoszcz,2015,22826
Bydgoszcz,2016,23796
Bydgoszcz,2017,23550
Bydgoszcz,2018,25666
Bydgoszcz,2019,25992
Bydgoszcz,2020,26377
Bydgoszcz,2021,26549
Bydgoszcz,2022,26981
Częstochowa,2015,17724
Częstochowa,2016,18162
Częstochowa,2017,17749
Częstochowa,2018,18677
Częstochowa,2019,18746
Częstochowa,2020,18923
Częstochowa,2021,18886
Częstochowa,2022,18917
Dąbrowa Górnicza,2015,9446
Dąbrowa Górnicza,2016,9811
Dąbrowa Górnicza,2017,9737
Dąbrowa Górnicza,2018,10506
Dąbrowa Górnicza,2019,10467
Dąbrowa Górnicza,2020,10688
Dąbrowa Górnicza,2021,10735
Dąbrowa Górnicza,2022,10673
Gdańsk,2015,19999
Gdańsk,2016,20765
Gdańsk,2017,20561
Gdańsk,2018,22383
Gdańsk,2019,22778
Gdańsk,2020,23682
Gdańsk,2021,24530
Gdańsk,2022,25523
Gdynia,2015,19999
Gdynia,2016,20765
Gdynia,2017,20561
Gdynia,2018,22383
Gdynia,2019,22778
Gdynia,2020,23682
Gdynia,2021,24530
